±ó,1,1,1,1,1,2,2,2,2,2
  ,3,5,10,20,30,3,5,10,20,30
0,23.58,14.7,7.87,4.59,3.51,25.52,15.9,8.52,4.98,3.81
1,24.7,15.4,8.25,4.81,3.68,26.69,16.64,8.91,5.21,3.99
2,25.88,16.13,8.64,5.04,3.86,27.92,17.4,9.33,5.45,4.18
3,27.11,16.9,9.05,5.28,4.05,29.2,18.2,9.75,5.7,4.37
4,28.4,17.7,9.48,5.54,4.24,30.54,19.04,10.2,5.97,4.57
5,29.74,18.54,9.93,5.8,4.45,31.94,19.91,10.67,6.24,4.79
6,31.14,19.41,10.4,6.07,4.66,33.39,20.81,11.15,6.53,5.01
7,32.61,20.32,10.88,6.36,4.88,34.9,21.76,11.66,6.82,5.24
8,34.13,21.27,11.39,6.66,5.12,36.48,22.74,12.19,7.13,5.48
9,35.72,22.26,11.92,6.98,5.36,38.11,23.76,12.74,7.46,5.73
10,37.37,23.29,12.47,7.3,5.61,39.82,24.83,13.31,7.8,5.99
11,39.09,24.36,13.05,7.65,5.88,41.6,25.93,13.9,8.15,6.26
12,40.88,25.48,13.65,8,6.16,43.45,27.09,14.52,8.51,6.55
13,42.75,26.64,14.28,8.38,6.45,45.37,28.29,15.17,8.9,6.85
14,44.69,27.84,14.93,8.77,6.76,47.37,29.53,15.84,9.29,7.16
15,46.71,29.11,15.62,9.18,7.08,49.45,30.83,16.55,9.71,7.48
16,48.8,30.43,16.34,9.6,7.41,51.62,32.19,17.28,10.14,7.82
17,51,31.81,17.09,10.05,7.76,53.88,33.6,18.04,10.6,8.18
18,53.32,33.27,17.87,10.52,8.13,56.23,35.08,18.83,11.07,8.55
19,55.54,34.66,18.63,10.96,8.48,58.6,36.55,19.63,11.54,8.93
20,57.84,36.1,19.4,11.42,8.85,61.05,38.09,20.46,12.03,9.32
21,60.22,37.58,20.21,11.9,9.24,63.6,39.68,21.31,12.54,9.72
22,62.69,39.13,21.04,12.4,9.64,66.24,41.33,22.2,13.08,10.15
23,65.26,40.73,21.9,12.92,10.06,68.99,43.04,23.13,13.63,10.59
24,67.92,42.4,22.81,13.46,10.5,71.84,44.83,24.09,14.21,11.06
25,70.7,44.13,23.74,14.03,10.97,74.81,46.68,25.1,14.82,11.55
26,73.58,45.94,24.72,14.62,11.45,77.89,48.61,26.14,15.45,12.06
27,76.59,47.82,25.74,15.24,11.97,81.11,50.62,27.23,16.11,12.6
28,79.72,49.77,26.8,15.89,12.51,84.45,52.71,28.37,16.8,13.16
29,82.97,51.81,27.91,16.57,13.09,87.93,54.89,29.55,17.53,13.75
30,86.36,53.93,29.06,17.29,13.7,91.55,57.16,30.79,18.29,14.37
31,89.88,56.14,30.27,18.04,,95.32,59.52,32.08,19.08,
32,93.54,58.43,31.52,18.83,,99.24,61.98,33.42,19.92,
33,97.34,60.81,32.83,19.66,,103.32,64.54,34.82,20.79,
34,101.28,63.29,34.19,20.53,,107.56,67.21,36.29,21.7,
35,105.38,65.87,35.61,21.45,,111.99,69.99,37.82,22.66,
36,109.65,68.56,37.1,22.41,,116.6,72.89,39.42,23.67,
37,114.08,71.35,38.66,23.44,,121.41,75.92,41.09,24.72,
38,118.7,74.27,40.29,24.52,,126.43,79.08,42.84,25.83,
39,123.51,77.31,42,25.66,,131.66,82.38,44.68,27,
40,128.53,80.49,43.79,26.88,,137.12,85.83,46.6,28.22,
41,133.76,83.8,45.68,,,142.83,89.43,48.61,,
42,139.22,87.28,47.66,,,148.79,93.2,50.72,,
43,144.95,90.93,49.76,,,155.02,97.15,52.93,,
44,150.95,94.77,51.98,,,161.55,101.29,55.25,,
45,157.27,98.81,54.32,,,168.39,105.63,57.69,,
46,163.92,103.08,,,,175.56,110.18,,,
47,170.93,107.59,,,,183.08,114.95,,,
48,178.33,112.35,,,,190.96,119.96,,,
49,186.14,117.4,,,,199.2,125.19,,,
50,194.41,122.75,,,,207.82,130.68,,,