个人寿险投/被保险人职业代码表（2010）,,,,,,
,,,2070108银行信用卡业务处理人员,银行信用卡业务处理人员,1,1
,,,2070109银行储蓄员,银行储蓄员,1,1
,,,"2070110现金运送车司机、点钞员、押送员",现金运送车司机、点钞员、押送员,3,1
"第二大类2专业技术人员",207金融业务人员,20702保险业务人员,2070201精算师,精算师,1,1
,,,2070202保险推销员,保险推销员,2,1
,,,2070203保险理赔员,保险理赔员,1,1
,,,"2070204保险收费员",保险收费员,2,1
,,,"2070205保险调查员",保险调查员,2,1
,,,"2070206征信人员",征信人员,2,1
,,20703证券业务人员,2070301证券发行员,证券发行员,1,1
,,,2070302证券交易员,证券交易员,1,1
,,,2070303证券投资顾问,证券投资顾问,1,1
,,20704信用管理人员,2070401信用管理师,信用管理师,1,1
,,20799其他金融业务人员,"2079901金融一般内勤人员",金融一般内勤人员,1,1
,,,"2079902金融外务员",金融外务员,2,1
,208法律专业人员,20801法官,2080101法官,法官,1,1
,,20802检察官,2080201检察官,检察官,1,1
,,20803律师,"2080301律师",律师,1,1
,,20804公证员,2080401公证员,公证员,1,1
,,20805司法鉴定人员,2080501法医,法医,2,1
,,20806书记员,2080601书记员,书记员,1,1
,,20807商业犯罪调查处理人员,2080701商业犯罪调查处理人员,商业犯罪调查处理人员,3,1
,209教学人员,20901高等教育教师,"2090101高等教育教师",高等教育教师,1,1
,,20902中等职业教育教师,2090201中等职业教育理论,中等职业教育理论,1,1
,,,2090202实习指导教师,实习指导教师,1,1
,,20903中学教师,2090301中学教师,中学教师,1,1
,,20904小学教师,2090401小学教师,小学教师,1,1
,,20905幼儿教师,2090501幼儿教师,幼儿教师,1,1
,,20906特殊教育教师,2090601特殊教育教师,特殊教育教师,1,1
,,20907家庭教师,2090701家庭教师,家庭教师,1,1
,,20999其他教学人员,"2099901校工",校工,2,1
,,,"2099902军训教官、体育教师",军训教官、体育教师,2,1
,,,"2099903汽车驾驶训练班教练",汽车驾驶训练班教练,3,1
"第二大类2专业技术人员",209教学人员,20999其他教学人员,"2099904各项运动教练",各项运动教练,2,1
,,,2099905飞行教官,飞行教官,6,2
,,,2099906飞行训练学员,飞行训练学员,6,1
,,,"2099907一般学生",一般学生,1,1
,,,2099908学龄前儿童,学龄前儿童,1,1
,210文学艺术工作人员,21001文艺创作和评论人员,"2100101文学作家",文学作家,1,1
,,,2100102曲艺作家,曲艺作家,1,1
,,,"2100103剧作家",剧作家,1,1
,,,"2100104作曲家",作曲家,1,1
,,,2100105词作家,词作家,1,1
,,,2100106文艺评论员,文艺评论员,1,1
,,,2100107皮影戏木偶戏作家,皮影戏木偶戏作家,1,1
,,21002编导和音乐指挥人员,"2100201电影电视导演",电影电视导演,2,1
,,,2100202戏剧导演,戏剧导演,1,1
,,,2100203舞蹈编导,舞蹈编导,1,1
,,,2100204音乐指挥,音乐指挥,1,1
,,,"2100205武术指导",武术指导,3,1
,,21003演员,2100301电影电视演员,电影电视演员,2,1
,,,"2100302戏剧演员",戏剧演员,2,1
,,,"2100303舞蹈演员",舞蹈演员,2,1
,,,2100304曲艺演员,曲艺演员,1,1
,,,2100305杂技魔术演员,杂技魔术演员,3,1
,,,2100306歌唱演员,歌唱演员,2,1
,,,2100307皮影戏演员,皮影戏演员,1,1
,,,2100308木偶戏演员,木偶戏演员,1,1
,,,"2100309武打演员",武打演员,5,2
,,,"2100310特技演员",特技演员,7,3
,,,2100311高空杂技飞车飞人演员,高空杂技飞车飞人演员,7,3
"第二大类2专业技术人员",210文学艺术工作人员,21003演员,2100312配音演员,配音演员,1,1
,,21004乐器演奏员,2100401民族乐器演奏员,民族乐器演奏员,1,1
,,,2100402外国乐器演奏员,外国乐器演奏员,1,1
,,21005电影电视制作及舞台专业人员,"2100501电影电视制片",电影电视制片,1,1
,,,"2100502电影电视场记",电影电视场记,2,1
,,,2100503电影电视摄影师,3电影电视摄影师,2,1
,,,2100504照明师,照明师,2,1
,,,2100505录音师,录音师,1,1
,,,2100506剪辑师,剪辑师,1,1
,,,2100507美工师,美工师,1,1
,,,"2100508化妆师",化妆师,1,1
,,,"2100509置景师",置景师,4,1
,,,2100510道具师,道具师,2,1
,,,2100511电影电视片发行人,电影电视片发行人,1,1
,,,2100512舞台监督,舞台监督,1,1
,,,2100513戏剧制作人,戏剧制作人,1,1
,,,"2100514影片商",影片商,1,1
,,,2100515灯光及音响工作人员,灯光及音响工作人员,2,1
,,,"2100516冲片人员",冲片人员,2,1
,,,"2100517洗片人员",洗片人员,2,1
,,,"2100518机械工电工",机械工电工,4,1
,,21006美术专业人员,"2100601画家",画家,1,1
,,,2100602篆刻家,篆刻家,2,1
,,,"2100603雕塑家",雕塑家,2,1
,,,2100604书法家,书法家,1,1
,,,2100605陶艺家,陶艺家,2,1
,,21007工艺美术专业人员,2100701特种工艺设计人员,特种工艺设计人员,1,1
,,,2100702实用工艺设计人员,实用工艺设计人员,1,1
"第二大类2专业技术人员",210文学艺术工作人员,21007工艺美术专业人员,2100703现代工艺设计人员,现代工艺设计人员,1,1
,,,2100704装磺美术设计人员,装磺美术设计人员,1,1
,,,2100705服装设计人员,服装设计人员,1,1
,,,2100706室内装饰设计人员,室内装饰设计人员,1,1
,,,2100707陈列展览设计人员,陈列展览设计人员,1,1
,,,2100708广告设计人员,广告设计人员,1,1
,211体育工作人员,21101高尔夫球运动,"2110101教练员",教练员,2,1
,,,"2110102运动员",运动员,2,1
,,,"2110103球童",球童,2,1
,,21102保龄球运动,"2110201教练员",教练员,2,1
,,,"2110202保龄球球员",保龄球球员,2,1
,,21103桌球运动,"2110301教练员",教练员,2,1
,,,"2110302桌球球员",桌球球员,2,1
,,21104羽毛球运动,"2110401教练员",教练员,2,1
,,,"2110402羽毛球球员",羽毛球球员,2,2
,,21105游泳运动,"2110501教练员",教练员,2,1
,,,"2110502游泳队员",游泳队员,2,1
,,21106射箭运动,"2110601教练员",教练员,2,1
,,,"2110602射箭运动员",射箭运动员,2,1
,,21107网球运动,"2110701教练员",教练员,2,1
,,,"2110703网球球员",网球球员,2,1
,,21108垒球运动,"2110801教练员",教练员,2,1
,,,"2110803垒球球员",垒球球员,2,1
"第二大类2专业技术人员",211体育工作人员,21109滑冰运动,"2110901教练员",教练员,2,1
,,,"2110902滑冰运动员",滑冰运动员,2,2
,,21110射击运动,"2111001教练员",教练员,2,1
,,,"2111002射击人员",射击人员,2,1
,,21111民族体育运动(不含竞技性),"2111101教练员",教练员,2,1
,,,2111102民族体育活动人员,民族体育活动人员,2,1
,,21112举重运动,"2111201教练员",教练员,2,1
,,,"2111202举重运动员",举重运动员,3,2
,,21113篮球运动,"2111301教练员",教练员,2,1
,,,"2111302篮球运动员",篮球运动员,3,2
,,21114排球运动,"2111401教练员",教练员,2,1
,,,"2111402排球运动员",排球运动员,3,2
,,21115棒球运动,"2111501教练员",教练员,2,1
,,,"2111502棒球运动员",棒球运动员,3,1
,,21116田径运动,"2111601教练员",教练员,2,1
,,,"2111602田径运动员",田径运动员,3,1
,,21117体操运动,"2111701教练员",教练员,3,1
,,,"2111702体操运动员",体操运动员,3,2
,,21118滑雪运动,"2111801教练员",教练员,3,1
"第二大类2专业技术人员",211体育工作人员,21118滑雪运动,"2111802滑雪运动员",滑雪运动员,6,2
,,21119帆船运动,"2111901教练员",教练员,3,1
,,,"2111902驾乘人员",驾乘人员,3,1
,,21120划船运动,"2112001教练员",教练员,3,1
,,,"2112002驾乘人员",驾乘人员,3,2
,,21121泛舟运动,"2112101教练员",教练员,3,1
,,,"2112102驾乘人员",驾乘人员,3,2
,,21122巧固球运动,"2112201教练员",教练员,2,1
,,,"2112202巧固球球员",巧固球球员,3,1
,,21123手球运动,"2112301教练员",教练员,2,1
,,,"2112302手球运动员",手球运动员,3,2
,,21124风浪板运动,"2112401教练员",教练员,4,2
,,,"2112402驾乘人员",驾乘人员,4,2
,,21125水上摩托车,"2112501教练员",教练员,4,2
,,,"2112502驾乘人员",驾乘人员,4,2
,,21126足球运动,"2112601教练员",教练员,2,1
,,,"2112602足球运动员",足球运动员,4,2
,,21127曲棍球运动,"2112701教练员",教练员,2,1
,,,"2112702曲棍球球员",曲棍球球员,5,1
,,21128冰上曲棍球运动,"2112801教练员",教练员,3,1
"第二大类2专业技术人员",211体育工作人员,21128冰上曲棍球运动,"2112802冰上曲棍球球员",冰上曲棍球球员,6,1
,,21129橄榄球,"2112901教练员",教练员,2,1
,,,"2112902橄榄球球员",橄榄球球员,5,2
,,21130乒乓球运动,2113001教练员,教练员,2,1
,,,2113002乒乓球球员,乒乓球球员,2,2
,,21131击剑运动,2113101教练员,教练员,3,1
,,,2113102击剑运动员,击剑运动员,4,2
,,21132水球运动,2113201教练员,教练员,2,1
,,,2113202水球球员,水球球员,2,2
,,21133马术运动,2113301教练员,教练员,4,1
,,,2113302运动员,运动员,6,2
,,21134摔跤运动,2113401教练员,教练员,3,1
,,,2113402摔跤运动员,摔跤运动员,5,2
,,21135拳击运动,2113501教练员,教练员,4,2
,,,2113502职业拳击运动员,职业拳击运动员,7,3
,,,2113503业余拳击运动员,业余拳击运动员,6,2
,,21136裁判人员,2113601裁判人员,裁判人员,2,1
,212新闻出版、文化工作人员,21201记者,2120101文字记者,文字记者,1,1
,,,"2120102摄影记者",摄影记者,4,1
,,,"2120103外勤记者",外勤记者,2,1
,,,"2120104战地记者",战地记者,7,3
,,,"2120105电视记者",电视记者,2,1
,,21202编辑,2120201文字编辑,文字编辑,1,1
,,,2120202美术编辑,美术编辑,1,1
,,,2120203技术编辑,技术编辑,1,1
,,,2120204电子出版物编辑,电子出版物编辑,1,1
,,21203校对员,2120301校对员,校对员,1,1
,,21204播音员及节目主持人,2120401播音员,播音员,1,1
,,,2120402节目主持人,节目主持人,1,1
,,21205翻译,2120501翻译,翻译,1,1
,,,2120502手语翻译员,手语翻译员,1,1
,,21206图书资料与档案业务人员,2120601图书资料业务人员,图书资料业务人员,1,1
,,,2120602档案业务人员,档案业务人员,1,1
,,,2120603缩微摄影人员,缩微摄影人员,1,1
"第二大类2专业技术人员",212新闻出版、文化工作人员,21206图书资料与档案业务人员,"2120604图书馆工作人员",图书馆工作人员,1,1
,,21207考古及文物保护专业人员,2120701考古工作者,考古工作者,2,2
,,,2120702文物鉴定和保管人员,文物鉴定和保管人员,1,1
,,,2120703文物保护专业人员,文物保护专业人员,2,1
,,,"2120704博物馆工作人员",博物馆工作人员,1,1
,,21299其他新闻出版、文化工作人员,"2129901内勤人员",内勤人员,1,1
,213宗教职业者,21300宗教职业者,2130001宗教职业者,宗教职业者,1,1
,,,"2130002寺庙及教堂管理人员",寺庙及教堂管理人员,1,1
,,,"2130003宗教团体工作人员",宗教团体工作人员,1,1
,,,"2130004僧尼道士传教人员员",僧尼道士传教人员,1,1
"第三大类3办事人员和有关人员",301行政办公人员,30101行政业务人员,"3010101行政业务办公人员（内勤）",行政业务办公人员（内勤）,1,1
,,,"3010102行政业务办公人员（外勤）",行政业务办公人员（外勤）,2,1
,,,"3010103工商、税务、海关、城管等特定国家机关行政执法人员",工商税务海关城管特定国家机关行政执法人员,3,1
,,,"3010104缉私人员",缉私人员,4,1
,,,3010105客户服务管理师,客户服务管理师,2,1
,,30102行政事务人员,3010201秘书,秘书,1,1
,,,3010202公务员,公务员,1,1
,,,3010203收发员,收发员,1,1
,,,3010204打字员,打字员,1,1
,,,3010205计算机操作员,计算机操作员,1,1
,,,3010206制图员,制图员,1,1
,302安全保卫和消防人员,30201人民警察,"3020101警务行政及内勤人员",警务行政及内勤人员,1,1
,,,"3020102警察（负有巡逻任务者）",警察（负有巡逻任务者）,3,1
"第三大类3办事人员和有关人员",302安全保卫和消防人员,30201人民警察,"3020103监狱看守所管理人员",监狱看守所管理人员,3,1
,,,"3020104交通警察",交通警察,4,1
,,,"3020105刑警",刑警,5,1
,,,"3020106警务特勤",警务特勤,6,2
,,,"3020107防暴警察",防暴警察,7,2
,,,"3020108港口机场警卫及安全人员",港口机场警卫及安全人员,4,1
,,,3020110警校学生,警校学生,4,2
,,30202治安保卫人员,"3020201保安员",1保安员,4,1
,,,3020202违禁品检查员,违禁品检查员,3,1
,,,3020203金融守押员,金融守押员,3,1
,,,"3020204治安调查人员",治安调查人员,3,1
,,,3020301灭火员,灭火员,6,2
,,,3020302防毒防化防核抢险员,防毒防化防核抢险员,7,3
,,,3020303一般事故抢险员,一般事故抢险员,6,2
,,,3020304抢险救援器材工具调配工,抢险救援器材工具调配工,3,1
,,,3020305抢险救援器材维修工,抢险救援器材维修工,3,1
,,,3020306火险监督员、防火审核员,火险监督员、防火审核员,2,1
,,,3020307可燃气体(毒气)检测员、危险物品监督员,可燃气体（毒气）检测员、危险物品监督员,3,1
,,,3020308建(构)筑物消防员,建（构）筑物消防员,3,2
,,,3020309火灾_望观察员(_望塔),火灾_望观察员（_望塔）,2,2
,,,3020310火灾_望观察员(直升机),火灾_望观察员（直升机）,6,1
,303邮政和电信业务人员,30301邮政业务人员,"3030101邮政营业员",邮政营业员,1,1
,,,3030102邮件分检、接发员,邮件分检、接发员,1,1
,,,3030103火车、汽车邮件押运员,火车、汽车邮件押运员,3,1
,,,3030104轮船邮件押运员,轮船邮件押运员,4,1
,,,3030105报刊分发员,报刊分发员,1,1
"第三大类3办事人员和有关人员",303邮政和电信业务人员,30301邮政业务人员,3030106投递员(外勤),投递员（外勤）,2,1
,,,3030107投递员(内勤),投递员（内勤）,1,1
,,,3030108邮政储汇员,邮政储汇员,1,1
,,,3030109报刊发行、零售员,报刊发行、零售员,1,1
,,,3030110集邮业务员,集邮业务员,1,1
,,,3030111邮政业务档案员,邮政业务档案员,1,1
,,,3030112邮政设备安装、维护人员,邮政设备安装、维护人员,3,1
,,,"3030113包裹邮务人员",包裹邮务人员,3,1
,,,"3030114包裹搬运人员",包裹搬运人员,4,1
,,30302电信业务人员,3030201电信业务营业员,电信业务营业员,1,1
,,,3030202话务员,话务员,1,1
,,,3030203报务员,报务员,1,1
,,30303电信通信传输业务人员,3030301通信设备维护人员,通信设备维护人员,3,1
,,,3030302电话、通信天、馈线架(敷)设、维修人员,电话、通信天、馈线架（敷）设、维修人员,4,1
,,,3030303电话电报交换设备安装、维护人员,电话电报交换设备安装、维护人员,3,1
,,,3030304电话机、寻呼机、传真机等用户终端设备维修员,电话机寻呼机传真机等用户终端设备维修员,2,1
,,,3030305通信系统供电设备、空调设备安装维护人员,通信系统供电设备、空调设备安装维护人员,4,1
,,,3030306市话障碍处理人员,市话障碍处理人员,2,1
,,,"3030307电信装置维护修理工",电信装置维护修理工,3,1
,,,"3030308电信工程设施架设人员员",电信工程设施架设人员,4,2
,304广告从业人员,30401广告内勤人员,3040101客户主任、统筹、设计师、市场拓展主任,客户主任、统筹、设计师、市场拓展主任,1,1
,,,"3040102撰稿员、一般内勤",撰稿员、一般内勤,1,1
,,30402室外工作人员,"3040201广告业务员",广告业务员,2,1
,,,"3040202广告招牌绘制人员",广告招牌绘制人员,4,1
,,,"3040203广告片拍摄录制人员",广告片拍摄录制人员,2,1
,,,"3040204广告招牌架设人员",广告招牌架设人员,5,2
"第三大类3办事人员和有关人员",304广告从业人员,30402室外工作人员,3040205霓虹光管安装及维修人员,霓虹光管安装及维修人员,5,2
,305设计和策划人员,30501展览业工作人员,3050101会展设计师,会展设计师,2,1
,,,3050102会展策划师,会展策划师,1,1
,,30502景观建设从业人员,3050201景观设计师,景观设计师,2,1
,306绘制人员,30601模型制作人员,3060101建筑模型设计制作员,建筑模型设计制作员,2,1
,,30602制图人员,3060202动画绘制员,动画绘制员,1,1
,307影视从业人员,30701影视拍摄制作人,3070101数字视频(DV)策划制作师,数字视频(DV)策划制作师,2,1
,308物业管理和服务人员,30801物业管理人员,3080101智能楼宇管理师,智能楼宇管理师,2,1
"第四大类4商业、服务业人员",401购销人员,40101营业人员,"4010101营业员",营业员,1,1
,,,4010102收银员,收银员,1,1
,,40102推销、展销人员,"4010201推销员",推销员,2,1
,,,4010202出版物发行员,出版物发行员,1,1
,,,4010203服装模特,服装模特,1,1
,,40103采购人员,"4010301采购员",采购员,2,1
,,,4010302粮油、农副土特产品、蔬菜等商品收购员,粮油、农副土特产品、蔬菜等商品收购员,2,1
,,,4010303中药购销员,中药购销员,2,1
,,40104拍卖、典当及租赁业务人员,4010401旧货、古玩、字画等物品鉴定估价师,旧货、古玩、字画等物品鉴定估价师,1,1
,,,4010402拍卖师,拍卖师,1,1
,,,4010403典当业务员,典当业务员,1,1
,,,4010404租赁业务员,租赁业务员,1,1
,,40105废旧物资回收利用人员,4010501废旧物资回收挑选工,废旧物资回收挑选工,2,1
,,,4010502废旧物资加工工,废旧物资加工工,3,1
,,,4010503船舶拆解工(仪表拆解),船舶拆解工（仪表拆解）,3,1
,,,4010504船舶拆解工(机舱、船体拆解),船舶拆解工（机舱、船体拆解）,5,2
,,,4010505船舶拆解工(油船清洗工),船舶拆解工（油船清洗工）,5,2
,,40106粮油管理人员,4010601粮油管理员,粮油管理员,2,1
,,40107商品监督和市场管理人员,4010701商品监督员,商品监督员,1,1
,,,4010702市场管理员,市场管理员,2,1
,,40199其他购销人员,4019901医药商品购销员,医药商品购销员,2,1
,,,4019902中药配方、制剂调配人员,中药配方、制剂调配人员,1,1
,,,4019903个体摊贩,个体摊贩,2,1
,402仓储人员,40201保管人员,"4020101保管员",保管员,3,1
,,,4020102理货员,理货员,3,1
,,,4020103库存商品养护员,库存商品养护员,2,1
,,,4020104保鲜员,保鲜员,2,1
"第四大类4商业、服务业人员",402仓储人员,40201保管人员,4020105冷藏工,冷藏工,3,1
,,40202储运人员,4020201商品储运员,商品储运员,2,1
,,,4020202商品护运员,商品护运员,3,1
,,,4020203医药商品储运员,医药商品储运员,2,1
,,,4020204出版物储运员,出版物储运员,2,1
,,,4020205货柜场检查员(控制室内),货柜场检查员（控制室内）,2,1
,,,4020206货柜场检查员(站立于货柜上),货柜场检查员（站立于货柜上）,4,1
,,,4020207起重机操作员(于控制室内),起重机操作员（于控制室内）,2,1
,,,4020208起重机操作员,起重机操作员,4,1
,403餐饮服务人员,40301中餐烹饪人员,"4030101中式烹调师",中式烹调师,2,1
,,,4030102中式面点师,中式面点师,2,1
,,40302西餐烹饪人员,4030201西式烹调师,西式烹调师,2,1
,,,4030202西式面点师,西式面点师,2,1
,,40303调酒和茶艺人员,4030301调酒师,调酒师,1,1
,,,4030302茶艺师,茶艺师,1,1
,,,4030303咖啡师,咖啡师,1,1
,,40304营养配餐人员,4030401营养配餐员,营养配餐员,1,1
,,40305餐厅服务人员,"4030501餐厅服务员",餐厅服务员,2,1
,,,4030502餐具清洗保管员,餐具清洗保管员,2,1
,,,"4030503经理人员",经理人员,1,1
,,,"4030504一般内勤人员",一般内勤人员,1,1
,,,"4030505收帐员",收帐员,2,1
,404饭店、旅游及健身娱乐场所服务人员,40401饭店服务人员,4040101前厅服务员,前厅服务员,1,1
,,,4040102客房服务员,客房服务员,1,1
,,,4040103旅店服务员,旅店服务员,1,1
,,,"4040104旅馆负责人",旅馆负责人,1,1
,,,"4040105一般内勤人员",一般内勤人员,1,1
,,,"4040106外务员",外务员,2,1
"第四大类4商业、服务业人员",404饭店、旅游及健身娱乐场所服务人员,40401饭店服务人员,"4040107收帐员",收帐员,2,1
,,,"4040108技工",技工,3,1
,,40402旅游及公共游览场所服务人员,"4040201导游",导游,2,1
,,,4040202公共游览场所服务员,公共游览场所服务员,1,1
,,,4040203展览讲解员,展览讲解员,1,1
,,,4040204插花员,插花员,1,1
,,,4040205盆景工,盆景工,2,1
,,,4040206假山工,假山工,5,1
,,,4040207园林植物保护工,园林植物保护工,2,1
,,,"4040208一般内勤人员",一般内勤人员,1,1
,,,"4040209外务人员",外务人员,2,1
,,40403健身和娱乐场所服务人员,4040301群众性体育活动指导员,群众性体育活动指导员,1,1
,,,4040302体育场地维护、保养工,体育场地维护、保养工,2,1
,,,4040303康乐服务员,康乐服务员,1,1
,,,"4040304保健按摩师",保健按摩师,2,1
,,,"4040305桑拿业负责人",桑拿业负责人,1,1
,,,"4040306桑拿业柜台人员",桑拿业柜台人员,1,1
,,,4040307社会文化指导员,社会文化指导员,1,1
,,,4040308芳香保健师,芳香保健师,1,1
,,40404高尔夫球馆,"4040401教练",教练,2,1
,,,"4040402球场保养人员",球场保养人员,2,1
,,,"4040403维护工人",维护工人,2,1
,,,"4040404球童",球童,2,1
,,40405保龄球馆,"4040501记分员",记分员,1,1
,,,"4040502柜台人员",柜台人员,1,1
,,,"4040503机械保护员",机械保护员,3,1
,,,"4040504清洁工人",清洁工人,2,1
"第四大类4商业、服务业人员",404饭店、旅游及健身娱乐场所服务人员,40406撞球馆,"4040601负责人",负责人,2,1
,,,"4040602记分员",记分员,2,1
,,40407游泳池,"4040701负责人",负责人,1,1
,,,"4040702管理员",管理员,1,1
,,,"4040703教练",教练,2,1
,,,"4040704售票员",售票员,1,1
,,,"4040705救生员",救生员,4,1
,,40408海水浴场,"4040801负责人",负责人,1,1
,,,"4040802管理员",管理员,1,1
,,,4040803潜水教练,潜水教练,6,2
,,,"4040804售票员",售票员,1,1
,,,"4040805救生员",救生员,5,1
,,40409游乐园动物园,"4040901负责人",负责人,1,1
,,,"4040902售票员",售票员,1,1
,,,"4040903游戏机操作员",游戏机操作员,2,1
,,,"4040904一般清洁工",一般清洁工,2,1
,,,"4040905兽栏清洁工",兽栏清洁工,4,1
,,,"4040906水电机械工",水电机械工,4,1
,,,"4040907动物园驯兽师",动物园驯兽师,7,2
,,,"4040908兽医(动物园)",兽医（动物园）,3,1
,,,"4040909观赏动物饲养工",观赏动物饲养工,4,1
,,,"4040910猛兽饲养工(动物园)",猛兽饲养工(动物园),6,1
