个人寿险投/被保险人职业代码表（2010）,,,,,,
,,,6051703防毒器材试验工,防毒器材试验工,4,1
,,60518船舶制造人员,"6051801船体制造工",船体制造工,5,2
,,,6051802船舶轮机装配工,船舶轮机装配工,4,1
,,60518船舶制造人员,6051803船舶电气装配工,船舶电气装配工,5,1
,,,6051804船舶附件制造工,船舶附件制造工,5,1
,,,6051805船舶木塑帆缆工,船舶木塑帆缆工,4,1
,,,6051806船模制造试验工,船模制造试验工,3,1
,,,"6051807工程师",工程师,3,1
,,,"6051808领班",领班,4,1
"第六大类6生产、运输设备操作人员及有关人员",605机电产品装配人员,60518船舶制造人员,"6051809拆船工人",拆船工人,6,2
,,60519航空产品装配与调试人员,6051901飞机装配工,飞机装配工,4,1
,,,6051902飞机系统安装调试工,飞机系统安装调试工,4,1
,,,6051903机载导弹装配工,机载导弹装配工,4,1
,,,6051904航空发动机装配工,航空发动机装配工,3,1
,,,6051905飞机螺旋桨装配工,飞机螺旋桨装配工,4,1
,,,6051906飞机军械安装调试工,飞机军械安装调试工,4,1
,,,6051907航空电气安装调试工,航空电气安装调试工,4,1
,,,6051908飞机发动机附件装配工,飞机发动机附件装配工,4,1
,,,6051909航空仪表装配工,航空仪表装配工,3,1
,,,6051910飞机仪表安装试验工,飞机仪表安装试验工,3,1
,,,6051911航空装配平衡工,航空装配平衡工,3,1
,,,6051912飞机无线电设备安装调试工,飞机无线电设备安装调试工,3,1
,,,6051913飞机雷达安装调试工,飞机雷达安装调试工,4,1
,,,6051914飞机特种设备检测与修理工,飞机特种设备检测与修理工,3,1
,,,6051915飞机透明件制造胶接装配工,飞机透明件制造胶接装配工,3,1
,,,6051916飞机外场调试与维护工,飞机外场调试与维护工,4,1
,,60520航空产品试验人员,6052001飞机试验工,飞机试验工,2,1
,,,6052002机载导弹例行试验工,机载导弹例行试验工,4,1
,,,6052003航空发动机试车工,航空发动机试车工,2,1
,,,6052004飞机螺旋桨试验工,飞机螺旋桨试验工,2,1
,,,6052005飞机、发动机附件试验工,飞机、发动机附件试验工,2,1
,,,6052006航空环控救生装备试验工(地面试验),航空环控救生装备试验工(地面试验）,2,1
,,,6052007航空环控救生装备试验工(空中试验),航空环控救生装备试验工(空中试验）,7,3
,,,6052008航空仪表试验工,航空仪表试验工,2,1
,,,6052009航空电机电器试验设备调试工,航空电机电器试验设备调试工,2,1
,,60521导弹卫星装配测试人员,6052101惯性器件装配厂,惯性器件装配厂,4,1
,,,6052102伺服机构装配调试工,伺服机构装配调试工,4,1
,,,6052103导弹部段装配工,导弹部段装配工,5,1
,,,6052104航天器引信装配工,航天器引信装配工,6,2
,,,6052105弹头装配工,弹头装配工,5,2
,,,6052106导弹总体装配工,导弹总体装配工,5,2
,,,6052107卫星总体装配工,卫星总体装配工,4,2
"第六大类6生产、运输设备操作人员及有关人员",605机电产品装配人员,60522火箭发动机装配试验人员,6052201液体火箭发动机装配试验工,液体火箭发动机装配试验工,4,2
,,,6052202固体火箭发动机装配工,固体火箭发动机装配工,4,2
,,,6052203固体火箭发动机试验工,固体火箭发动机试验工,4,2
,,,6052204固体火箭发动机检测工,固体火箭发动机检测工,4,2
,,60523航天器结构强度温度环境试验人员,6052301航天器环境试验工,航天器环境试验工,3,1
,,,6052302航天器结构强度环境试验工,航天器结构强度环境试验工,3,1
,,,6052303航天器结构高低温环境试验工,航天器结构高低温环境试验工,3,1
,,,6052304火箭发动机介质试验工,火箭发动机介质试验工,3,1
,,,6052305航天器系统试验工,航天器系统试验工,3,1
,,,6052306空间环境模拟光学装测工,空间环境模拟光学装测工,2,1
,,,6052307空间环境模拟温度试验工,空间环境模拟温度试验工,2,1
,,,6052308空间环境模拟真空试验工,空间环境模拟真空试验工,2,1
,,60524靶场试验人员,6052401靶场试射工,靶场试射工,6,2
,,,6052402靶场测试工,靶场测试工,2,1
,,60599其他机电产品装配人员,"6059901技师",技师,3,1
,,,"6059902领班、监工",领班、监工,3,1
,606机械设备修理人员,60601机械设备维修人员,6060101机修钳工,机修钳工,4,1
,,,"6060102汽车修理工",汽车修理工,4,1
,,,6060103船舶修理工,船舶修理工,5,2
,,,"6060104修理保养工人(自行车)",修理保养工人（自行车）,3,1
,,,"6060105装配修理工、冷冻修理厂工人",装配修理工、冷冻修理厂工人,4,1
,,,6060106汽车玻璃维修工,汽车玻璃维修工,4,1
,,,6060107工程机械修理工,工程机械修理工,4,1
,,60602仪器仪表修理人员,6060201工业自动化仪器仪表与装置修理工,工业自动化仪器仪表与装置修理工,3,1
,,,6060202电工仪器仪表修理工,电工仪器仪表修理工,4,1
,,,6060203精密仪器仪表修理工,精密仪器仪表修理工,3,1
,,60603民用航空器维修人员,"6060301民用航空器维护人员",民用航空器维护人员,4,1
"第六大类6生产、运输设备操作人员及有关人员",606机械设备修理人员,60603民用航空器维修人员,6060302民用航空器修理人员,民用航空器修理人员,4,1
,,,"6060303机械员",机械员,4,1
,607电力设备安装、运行、检修及供电人员,60701电力设备安装人员,6070101水轮机设备安装工,水轮机设备安装工,4,1
,,,6070102锅炉设备安装工,锅炉设备安装工,4,1
,,,6070103汽轮机设备安装工,汽轮机设备安装工,4,1
,,,6070104发电机设备安装工,发电机设备安装工,4,1
,,,6070105热工仪表及控制装置安装试验工,热工仪表及控制装置安装试验工,4,1
,,,6070106发电厂电气设备安装工,发电厂电气设备安装工,4,1
,,,"6070107电力电缆安装工(旧)1402008电力设施之架设人员",电力电缆安装工,5,2
,,,"6070108高压线路架设工",高压线路架设工,7,2
,,,6070109电力工程内线安装工,电力工程内线安装工,4,1
,,,6070110小风电利用工,小风电利用工,5,2
,,,6070111微水电利用工,微水电利用工,5,2
,,60702发电运行值班人员,6070201水轮发电机值班员,水轮发电机值班员,3,1
,,,6070202燃料值班员,燃料值班员,2,1
,,,6070203锅炉运行值班员,锅炉运行值班员,4,1
,,,6070204锅炉辅机值班员,锅炉辅机值班员,4,1
,,,6070205汽轮机运行值班员,汽轮机运行值班员,3,1
,,,6070206热力网值班员,热力网值班员,3,1
,,,6070207电气值班员,电气值班员,3,1
,,,6070208集控值班员,集控值班员,3,1
,,,6070209发电机氢冷值班员,发电机氢冷值班员,3,1
,,,6070210电厂水处理值班员,电厂水处理值班员,3,1
,,60703输电、配电、变电设备值班人员,6070301送电、配电线路工,送电、配电线路工,5,1
,,,6070302变电站值班员,变电站值班员,5,1
,,,6070303调相机值班员,调相机值班员,4,1
,,,6070304换流站值班员,换流站值班员,4,1
,,60704电力设备检修人员,6070401锅炉本体设备检修工,锅炉本体设备检修工,5,2
,,,6070402锅炉附属设备检修工,锅炉附属设备检修工,5,1
,,,6070403汽轮机本体设备检修工,汽轮机本体设备检修工,4,1
,,,6070404汽轮机附属设备检修工,汽轮机附属设备检修工,4,1
,,,6070405发电厂电动机检修工,发电厂电动机检修工,4,1
,,,6070406水轮机检修工,水轮机检修工,4,1
,,,6070407水电站水力机械试验工,水电站水力机械试验工,3,1
,,,6070408水电自动装置检修工,水电自动装置检修工,4,1
,,,6070409高压线路带电检修工,高压线路带电检修工,7,3
,,,6070410变压器检修工,变压器检修工,5,2
,,,6070411变电设备检修工,变电设备检修工,5,2
"第六大类6生产、运输设备操作人员及有关人员",607电力设备安装、运行、检修及供电人员,60704电力设备检修人员,6070412电气试验员,电气试验员,4,1
,,,6070413继电保护员,继电保护员,4,1
,,,"6070414电力装置维护修理工",电力装置维护修理工,4,1
,,60705供用电人员,6070501电力负荷控制员,电力负荷控制员,3,1
,,,6070502用电监察员,用电监察员,3,1
,,,6070503装表核算收费员,装表核算收费员,2,1
,,,6070504装表接电工,装表接电工,4,1
,,,6070505电能计量装置检修工,电能计量装置检修工,3,1
,,60706生活生产电力设备安装、操作、修理人员,6070601变电设备安装工,变电设备安装工,4,1
,,,6070602变配电室值班电工,变配电室值班电工,4,1
,,,6070603常用电机检修工,常用电机检修工,4,1
,,,6070604牵引电力线路安装维护工,牵引电力线路安装维护工,6,2
,,,6070605维修电工,维修电工,5,1
,608电子元器件与设备制造、装配调试及维修人员,60801电子器件制造人员,6080101真空电子器件化学零件制造工,真空电子器件化学零件制造工,4,1
,,,6080102电极丝制造工,电极丝制造工,3,1
,,,6080103真空电子器件金属零件制造工,真空电子器件金属零件制造工,4,1
,,,6080104电子真空镀膜工,电子真空镀膜工,4,1
,,,6080105真空电子器件装配工,真空电子器件装配工,4,1
,,,6080106真空电子器件装调工,真空电子器件装调工,3,1
,,,6080107液晶显示器件制造工,液晶显示器件制造工,3,1
,,,6080108单晶片加工工,单晶片加工工,3,1
,,,6080109半导体芯片制造工,半导体芯片制造工,3,1
,,60801电子器件制造人员,6080110半导体分立器件、集成电路装调工,半导体分立器件、集成电路装调工,2,1
,,,6080111电子用水制备工,电子用水制备工,2,1
,,,"6080112技师",技师,2,1
,,,"6080113领班、监工",领班、监工,2,1
,,,"6080114制造工",制造工,4,1
,,60802电子元件制造人员,6080201电阻器制造工,电阻器制造工,4,1
,,,6080202电容器制造工,电容器制造工,4,1
"第六大类6生产、运输设备操作人员及有关人员",608电子元器件与设备制造、装配调试及维修人员,60802电子元件制造人员,6080203微波铁氧体元器件制造工,微波铁氧体元器件制造工,4,1
,,,6080204石英晶体生长设备操作工,石英晶体生长设备操作工,2,1
,,,6080205压电石英晶片加工工,压电石英晶片加工工,3,1
,,,6080206石英晶体元器件制造工,石英晶体元器件制造工,3,1
,,,6080207电声器件制造工,电声器件制造工,3,1
,,,6080208水声换能器制造工,水声换能器制造工,3,1
,,,6080209专用继电器制造工,专用继电器制造工,3,1
,,,6080210高频电感器件制造工,高频电感器件制造工,2,1
,,,6080211接插件制造工,接插件制造工,4,1
,,,6080212磁头制造工,磁头制造工,2,1
,,,6080213电子产品制版工,电子产品制版工,2,1
,,,6080214印制电路制作工,印制电路制作工,3,1
,,,6080215薄膜加热器制造工,薄膜加热器制造工,3,1
,,,6080216激光头制造工,激光头制造工,2,1
,,60803电池制造人员,6080301铅酸蓄电池制造工,铅酸蓄电池制造工,4,2
,,,6080302碱性蓄电池制造工,碱性蓄电池制造工,4,2
,,,6080303原电池制造工,原电池制造工,4,1
,,,6080304热电池制造工,热电池制造工,4,1
,,,6080305太阳电池制造工,太阳电池制造工,4,1
,,,"6080306电池制造(技师)",电池制造（技师）,3,1
,,,"6080307电池制造(工人)",电池制造（工人）,4,2
,,60804电子设备装配调试人员,6080401无线电设备机械装校工,无线电设备机械装校工,4,1
,,,"6080402电子设备装接工",电子设备装接工,4,1
,,,6080403无线电调试工,无线电调试工,2,1
,,,6080404雷达装配工,雷达装配工,4,1
,,,6080405雷达调试工,雷达调试工,2,1
,,,6080406电子精密机械装调工,电子精密机械装调工,2,1
,,,6080407电子计算机(微机)调试工,电子计算机（微机）调试工,1,1
,,,6080408有线通信传输设备调试工,有线通信传输设备调试工,2,1
,,,6080409通讯交换设备调试工,通讯交换设备调试工,2,1
,,,6080410电源调试工,电源调试工,2,1
,,,6080411激光机装调工,激光机装调工,2,1
,,,6080412激光全息工,激光全息工,1,1
,,,6080413铁路通信组调工,铁路通信组调工,3,1
"第六大类6生产、运输设备操作人员及有关人员",608电子元器件与设备制造、装配调试及维修人员,60804电子设备装配调试人员,6080414铁路信号组调工,铁路信号组调工,3,1
,,,6080415铁路电控组调工,铁路电控组调工,4,1
,,,"6080416包装工人",包装工人,4,1
,,,6080417集成电路测试员,集成电路测试员,2,1
,,60805电子产品维修人员,6080501电子计算机(微机)维修工,电子计算机（微机）维修工,1,1
,,,"6080502修理工",修理工,3,1
,,,"6080503家电用品维修人员",家电用品维修人员,3,1
,609橡胶和塑料制品生产人员,60901橡胶制品生产人员,6090101橡胶制品配料工,橡胶制品配料工,2,1
,,,6090102橡胶炼胶工,橡胶炼胶工,4,2
,,,6090103橡胶半成品制造工,橡胶半成品制造工,4,2
,,,6090104橡胶成型工,橡胶成型工,4,2
,,,6090105橡胶硫化工,橡胶硫化工,4,2
,,,6090106废胶再生工,废胶再生工,4,2
,,,6090107轮胎翻修工,轮胎翻修工,4,2
,,60902塑料制品加工人员,6090201塑料制品配料工,塑料制品配料工,3,1
,,,"6090202塑料制品成型制作工(自动)",塑料制品成型制作工（自动）,3,1
,,,"6090203塑胶射出成型人员(其它)",塑胶射出成型人员（其它）,4,1
,,60999其他橡胶和塑料制品生产人员,"6099901工程师",工程师,2,1
,,,"6099902技师",技师,2,1
,,,"6099903领班、监工",领班、监工,3,1
,,,"6099904一般工人",一般工人,3,1
,610纺织、针织、印染人员,61001纤维预处理人员,6100101纤维验配工,纤维验配工,1,1
,,,6100102开清棉工,开清棉工,2,1
,,,6100103纤维染色工,纤维染色工,2,1
,,,6100104加湿软麻工,加湿软麻工,2,1
,,,6100105选剥煮茧工,选剥煮茧工,2,1
,,,6100106纤维梳理工,纤维梳理工,2,1
,,,6100107并条工,并条工,2,1
,,,6100108粗纱工,粗纱工,2,1
,,,6100109绢纺精炼工,绢纺精炼工,3,1
"第六大类6生产、运输设备操作人员及有关人员",610纺织、针织、印染人员,61002纺纱人员,6100201细纱工,细纱工,2,1
,,,6100202简并摇工,简并摇工,2,1
,,,6100203捻线工,捻线工,2,1
,,,6100204制线工,制线工,2,1
,,,6100205缫丝工,缫丝工,2,1
,,61003织造人员,6100301整经工,整经工,2,1
,,,6100302浆纱工,浆纱工,2,1
,,,6100303穿经工,穿经工,2,1
,,,6100304织布工,织布工,2,1
,,,6100305织物验修工,织物验修工,2,1
,,,6100306意匠纹版工,意匠纹版工,1,1
,,,"6100307织造工人",织造工人,2,1
,,61004针织人员,6100401纬编工,纬编工,2,1
,,,6100402经编工,经编工,2,1
,,,6100403横机工,横机工,2,1
,,,6100404织袜工,织袜工,2,1
,,,6100405铸、钳针工,铸、钳针工,2,1
,,61005印染人员,6100501坯布检查处理工,坯布检查处理工,2,1
,,,6100502印染烧毛工,印染烧毛工,3,1
,,,6100503煮炼漂工,煮炼漂工,4,1
,,,6100504印染洗涤工,印染洗涤工,3,1
,,,6100505印染烘干工,印染烘干工,4,1
,,,6100506印染丝光工,印染丝光工,4,1
,,,6100507印染定型工,印染定型工,4,1
,,,6100508纺织针织染色工,纺织针织染色工,4,1
,,,6100509印花工,印花工,4,1
,,,6100510印染雕刻制版工,印染雕刻制版工,4,1
,,,6100511印染后整理工,印染后整理工,4,1
,,,6100512印染成品定等装潢工,印染成品定等装潢工,4,1
,,,6100513印染染化料配制工,印染染化料配制工,3,1
,,,6100514工艺染织制作工,工艺染织制作工,1,1
,,,"6100515染整工人",染整工人,4,1
,,61099其他纺织、针织、印染人员,"6109901技师",技师,2,1
"第六大类6生产、运输设备操作人员及有关人员",611裁剪缝纫和皮革、毛皮制品加工制作人员,61101裁剪缝纫人员,6110101裁剪工,裁剪工,3,1
,,,"6110102缝纫工",缝纫工,3,1
,,,6110103缝纫品整型工,缝纫品整型工,3,1
,,,6110104裁缝,裁缝,2,1
,,,6110105剧装工,剧装工,3,1
,,,"6110106设计师",设计师,1,1
,,61102鞋帽制作人员,6110201制鞋工,制鞋工,4,1
,,,6110202制帽工,制帽工,3,1
,,61103皮革、毛皮加工人员,6110301皮革加工工,皮革加工工,4,2
,,,6110302毛皮加工工,毛皮加工工,3,2
,,61104缝纫制品再加工人员,6110401缝纫制品充填处理工,缝纫制品充填处理工,3,1
,,,6110402胶制服装上胶工,胶制服装上胶工,3,1
,,,6110403服装水洗工,服装水洗工,2,1
,612粮油、食品、饮料生产加工及饲料生产加工人员,61201粮油生产加工人员,"6120101制米工",制米工,3,1
,,,6120102制粉工,制粉工,3,1
,,,6120103制油工,制油工,3,1
,,61202制糖和糖制品加工人员,6120201食糖制造工,食糖制造工,4,1
,,,6120202糖果制造工,糖果制造工,3,1
,,,6120203巧克力制造工,巧克力制造工,3,1
,,61203乳品、冷食品及罐头、饮料制作人员,6120301乳品预处理工,乳品预处理工,2,1
,,,6120302乳品加工工,乳品加工工,3,1
,,,6120303冷食品制作工,冷食品制作工,3,1
,,,6120304速冻食品制作工,速冻食品制作工,3,1
,,,6120305食品罐头加工工,食品罐头加工工,3,1
,,,6120306饮料制作工,饮料制作工,3,1
,,61204酿酒人员,6120401白酒酿造工,白酒酿造工,3,1
,,,6120402啤酒酿造工,啤酒酿造工,3,1
,,,6120403黄酒酿造工,黄酒酿造工,3,1
,,,6120404果露酒酿造工,果露酒酿造工,3,1
,,,6120405洒精制造工,洒精制造工,3,1
,,61205食品添加剂及调味品制作人员,6120501酶制剂制造工,酶制剂制造工,3,1
,,,6120502柠檬酸制造工,柠檬酸制造工,3,1
,,,6120503酱油酱类制作工,酱油酱类制作工,3,1
,,,6120504食醋制作工,食醋制作工,3,1
,,,6120505酱腌菜制作工,酱腌菜制作工,3,1
,,,6120506食用调料制作工,食用调料制作工,3,1
,,,6120507味精制作工,味精制作工,4,1
"第六大类6生产、运输设备操作人员及有关人员",612粮油、食品、饮料生产加工及饲料生产加工人员,61206粮油食品制作人员,6120601糕点、面包烘焙工,糕点、面包烘焙工,2,1
,,,6120602糕点装饰工,糕点装饰工,1,1
,,,6120603米面主食制作工,米面主食制作工,3,1
,,,6120604油脂制品工,油脂制品工,2,1
,,,6120605植物蛋白制作工,植物蛋白制作工,2,1
,,,6120606豆制品制作工,豆制品制作工,3,1
,,61207屠宰加工人员,6120701猪屠宰加工工,猪屠宰加工工,4,1
,,,6120702牛羊屠宰加工工,牛羊屠宰加工工,4,1
,,,6120703肠衣工,肠衣工,3,1
,,,6120704禽类屠宰加工工,禽类屠宰加工工,3,1
,,61208肉、蛋食品加工人员,6120801熟肉制品加工工,熟肉制品加工工,3,1
,,,6120802蛋品及再制蛋品加工工,蛋品及再制蛋品加工工,2,1
,,61209饲料生产加工人员,6120901饲料原料清理上料工,饲料原料清理上料工,2,1
,,,6120902饲料粉碎工,饲料粉碎工,3,1
,,,6120903饲料配料混合工,饲料配料混合工,2,1
,,,6120904饲料制粒工,饲料制粒工,3,1
,,,6120905饲料添加剂预混工,饲料添加剂预混工,2,1
,,,6120906饲料厂中央控制室操作工,饲料厂中央控制室操作工,1,1
,,61299其他粮油、食品、饮料生产加工及饲料生产加工人员,"6129901制造工人",制造工人,3,1
,,,"6129902冰块制造工人",冰块制造工人,3,1
,,,"6129903技师",技师,2,1
,,,"6129904领班、监工工",领班、监工,2,1
,,,"6129905装罐工人",装罐工人,4,1
,613烟草及其制品加工人员,61301原烟复烤人员,6130101烟叶调制工,烟叶调制工,2,1
,,,6130102烟叶分级工,烟叶分级工,1,1
,,,6130103挂杆复烤工,挂杆复烤工,2,1
,,,6130104打叶复烤工,打叶复烤工,2,1
,,,6130105烟叶回潮工,烟叶回潮工,2,1
,,,6130106烟叶发酵工,烟叶发酵工,2,1
,,61302卷烟生产人员,6130201烟叶制丝工,烟叶制丝工,3,1
,,,6130202膨胀烟丝工,膨胀烟丝工,3,1
,,,6130203白肋烟处理工,白肋烟处理工,2,1
"第六大类6生产、运输设备操作人员及有关人员",613烟草及其制品加工人员,61302卷烟生产人员,6130204烟草薄片工,烟草薄片工,3,1
,,,6130205卷烟卷接工,卷烟卷接工,2,1
,,61303烟用醋酸纤维丝束滤棒制作人员,6130301烟用二醋片制造工,烟用二醋片制造工,3,1
,,,6130302烟用丝束制造工,烟用丝束制造工,3,1
,,,6130303滤棒工,滤棒工,3,1
,614药品生产人员,61401合成药物制造人员,6140101化学合成制药工,化学合成制药工,3,1
,,61402生物技术制药(品)人员,6140201生化药品制造工,生化药品制造工,2,1
,,,6140202发酵工程制药工,发酵工程制药工,2,1
,,,6140203疫苗制品工,疫苗制品工,3,1
,,,6140204血液制品工,血液制品工,3,1
,,,6140205基因工程产品工,基因工程产品工,2,1
,,61403药物制剂人员,6140301药物制剂工,药物制剂工,2,1
,,,6140302淀粉葡萄糖制造工,淀粉葡萄糖制造工,3,1
,,61404中药制药人员,6140401中药炮制与配制工,中药炮制与配制工,2,1
,,,6140402中药液体制剂工,中药液体制剂工,2,1
,,,6140403中药固体制剂工,中药固体制剂工,3,1
,615木材加工、人造板生产及木材制品制作人员,61501木材加工人员,"6150101锯木工人",锯木工人,5,2
,,,6150102木材干燥工,木材干燥工,4,1
,,,"6150103木材工厂现场之职员",木材工厂现场之职员,2,1
,,,"6150104领班",领班,3,1
,,,"6150105分级员",分级员,3,1
,,,"6150106检查员",检查员,3,1
,,,"6150107标记员",标记员,3,1
,,,"6150108磅秤员",磅秤员,3,1
,,,6150109木材供应站管理人员,木材供应站管理人员,1,1
,,,6150110木材供应站营业员,木材供应站营业员,2,1
,,,6150111仓库管理员,仓库管理员,3,1
,,,"6150112防腐剂工人",防腐剂工人,4,2
,,,"6150113木材储藏槽工人",木材储藏槽工人,4,1
"第六大类6生产、运输设备操作人员及有关人员",615木材加工、人造板生产及木材制品制作人员,61501木材加工人员,"6150114木材搬运工人",木材搬运工人,5,2
,,,"6150115吊车操作人员",吊车操作人员,3,1
,,61502人造板生产人员,"6150201胶合板工",胶合板工,4,1
,,,6150202纤维板工,纤维板工,4,2
,,,6150203刨花板工,刨花板工,4,2
,,,6150204人造板制胶工,人造板制胶工,3,2
,,,6150205装饰层压板工,装饰层压板工,4,1
,,,6150206人造板饰面工,人造板饰面工,4,1
,,61503木材制品制作人员,6150301手工木工,手工木工,3,2
,,,6150302机械木工,机械木工,3,2
,,,6150303精细木工,精细木工,3,1
,,,"6150304技师",技师,3,1
,,,"6150305领班、监工",领班、监工,3,1
,,,"6150306木制家具制造工人",木制家具制造工人,3,2
,,,"6150307木制家具修理工人",木制家具修理工人,3,1
,616制浆、造纸和纸制品生产加工人员,61601制浆人员,6160101制浆备料工,制浆备料工,5,1
,,,"6160102制浆设备操作工",制浆设备操作工,5,2
,,,6160103制浆废液回收利用工,制浆废液回收利用工,5,2
,,61602造纸人员,"6160201造纸工",造纸工,4,2
,,,6160202纸张整饰工,纸张整饰工,3,1
,,,6160203宣纸书画纸制作工,宣纸书画纸制作工,4,1
,,61603纸制品制作人员,"6160301瓦楞纸箱制作工",瓦楞纸箱制作工,4,1
,,,6160302纸盒制作工,纸盒制作工,4,1
,,61699其他制浆、造纸和纸制品生产加工人员,"6169901技师",技师,3,1
,,,"6169902领班、监工",领班、监工,3,1
,617建筑材料生产加工人员,61701水泥及水泥制品生产加工人员,6170101水泥生产制造工,水泥生产制造工,6,2
,,,6170102水泥制品工,水泥制品工,6,2
,,,6170103石灰焙烧工,石灰焙烧工,6,2
"第六大类6生产、运输设备操作人员及有关人员",617建筑材料生产加工人员,61701水泥及水泥制品生产加工人员,"6170104工程师",工程师,2,1
,,,"6170105技师",技师,2,1
,,,"6170106领班",领班,3,1
,,,"6170107一般工人",一般工人,6,2
,,,"6170108采掘工",采掘工,7,2
,,,"6170109爆破工",爆破工,7,3
,,,"6170110陶瓷、木炭、砖块制造工",陶瓷、木炭、砖块制造工,3,1
,,61702墙体屋面材料生产人员,6170201砖、瓦生产工,砖、瓦生产工,3,1
,,,6170202加气混凝土制品工,加气混凝土制品工,6,2
