生命人寿职业代码（第三版）,,,,,,,,,,,,,,,,,,
,,,住宅办公楼工厂电力电信设备架设维修工人(非室外高空),,,,,,392008,,5,,标准,,,1,,
,,,高空电力、电信设备架设信维修工人,,,,,,392009,,拒保,,50,,,拒保,,
,,,高压电工程人员,,,,,,392010,,拒保,,50,,,拒保,,
,,,电台天线维护人员,,,,,,392011,,拒保,,50,,,拒保,,
,,,发电厂总工程师,,,,,,392012,,2,,标准,,,1,,
,,,电力输送员,,,,,,392013,,3,,标准,,,1,,
,,,发电站工作人员,,,,,,392014,,5,,标准,,,1,,
自来水(水利)393,,,行政内勤人员,,,,,,393001,,1,,标准,,,1,,
,,,工程师,,,,,,393002,,2,,标准,,,1,,
,,,水坝、水库管理人员,,,,,,393003,,3,,标准,,,1,,
,,,水利工程设施人员,,,,,,393004,,4,,标准,,,1,,
,,,自来水管装修人员,,,,,,393005,,3,,标准,,,1,,
,,,抄表员、收费员,,,,,,393006,,2,,标准,,,1,,
,,,自来水厂水质分析员(实地),,,,,,393007,,3,,标准,,,1,,
煤气394,,,行政内勤人员,,,,,,394001,,1,,标准,,,1,,
,,,工程师,,,,,,394002,,2,,标准,,,1,,
,,,管线装修工,,,,,,394003,,3,,标准,,,1,,
,,,收费员、抄表员,,,,,,394004,,2,,标准,,,1,,
,,,检查员,,,,,,394005,,2,,标准,,,1,,
,,,煤气器具制作工、煤气分装工,,,,,,394006,,4,,25,,,1.5,,
,,,液化气罐随车司机及工人,,,,,,394007,,6,,25,,,2,,
环境保护395,,,捕狗大队,,,,,,395001,,3,,标准,,,1,,
,,,除尘设备运行工,,,,,,395002,,4,,标准,,,2,,
,,,储油槽、储气槽清理人员,,,,,,395003,,拒保,,标准,,,视情况而定,,
,,,废气处理工,,,,,,395004,,4,,标准,,,2,,
,,,废五金处理人员,,,,,,395005,,4,,标准,,,2,,
,,,固体废物处理工,,,,,,395006,,4,,标准,,,2,,
,,,海上油污处理人员,,,,,,395007,,拒保,,标准,,,视情况而定,,
,,,海洋调查与监测工,,,,,,395008,,拒保,,标准,,,拒保,,
,,,海洋浮标工,,,,,,395009,,拒保,,标准,,,拒保,,
,,,海洋水文气象观测员,,,,,,395010,,拒保,,标准,,,拒保,,
,,,核能工程环保人员,,,,,,395011,,拒保,,标准,,,视情况而定,,
,,,化学工程环保人员,,,,,,395012,,4,,标准,,,2,,
,,,环保稽核巡查人员,,,,,,395013,,3,,标准,,,1,,
,,,技师,,,,,,395014,,3,,标准,,,1,,
,,,水质分析人员,,,,,,395015,,2,,标准,,,1,,
,,,污水处理人员,,,,,,395016,,3,,标准,,,1,,
,,,下水道清洁工,,,,,,395017,,4,,标准,,,2,,
,,,,,,一般工厂环保人员,,,,,395018,,3,,,标准,,1
一般商业40,,,,,厨具商、厨具店营业员,,,,,,401001,,1,,,标准,,1
,,,,,"陶瓷商、陶器,瓷器店营业员",,,,,,401002,,1,,,标准,,1
,,,,,花卉商、花卉店营业员,,,,,,401003,,1,,,标准,,1
,,,,,米商、米店营业员,,,,,,401004,,1,,,标准,,1
,,,,,食品商、食品点营业员,,,,,,401005,,1,,,标准,,1
,,,,,个体果菜商,,,,,,401006,,2,,,标准,,1
,,,,,个体鱼肉商,,,,,,401007,,4,,,标准,,1
,,,,,国营菜场营业员(菜蛋类),,,,,,401008,,2,,,标准,,1
,,,,,国营菜场营业员(鱼肉类),,,,,,401009,,3,,,标准,,1
,,,,,个体杂货商、杂货店营业员,,,,,,401010,,2,,,标准,,1
,,,,,眼镜商、眼镜店营业员,,,,,,401011,,1,,,标准,,1
,,,,,眼镜店磨片人员,,,,,,401012,,2,,,标准,,1
,,,,,文具商、文具店营业员,,,,,,401013,,1,,,标准,,1
,,,,,布商、布店、服装店营业员,,,,,,401014,,1,,,标准,,1
,,,,,个体服装商,,,,,,401015,,2,,,标准,,1
,,,,,音像制品出租商,,,,,,401016,,1,,,标准,,1
,,,,,古董商,,,,,,401017,,1,,,标准,,1
,,,,,古董店营业员,,,,,,401018,,2,,,标准,,1
,,,,,玻璃商,,,,,,401019,,3,,,标准,,1
,,,,,玻璃店营业员,,,,,,401020,,2,,,标准,,1
,,,,,石材商,,,,,,401021,,2,,,标准,,1
,,,,,石材店营业员,,,,,,401022,,4,,,25,,1.5
,,,,,建材商,,,,,,401023,,2,,,标准,,1
,,,,,建材店营业员,,,,,,401024,,3,,,标准,,1
,,,,,铁材商,,,,,,401025,,2,,,标准,,1
,,,,,铁材店营业员,,,,,,401026,,2,,,标准,,1
,,,,,木材商、木材店营业员,,,,,,401027,,2,,,标准,,1
,,,,,五金商、五金店营业员,,,,,,401028,,2,,,标准,,1
,,,,,电器商,,,,,,401029,,2,,,标准,,1
,,,,,电器店营业员,,,,,,401030,,2,,,标准,,1
,,,,,水电卫生器材店营业员,,,,,,401031,,2,,,标准,,1
,,,,,家具店营业员,,,,,,401032,,1,,,标准,,1
,,,,,车行营业员,,,,,,401033,,2,,,标准,,1
,,,,,车辆器材店营业员(不含矿物油),,,,,,401034,,1,,,标准,,1
,,,,,矿物油店营业员,,,,,,401035,,3,,,标准,,1
,,,,,珠宝店营业员,,,,,,401036,,3,,,标准,,1
,,,,,珠宝店珠宝加工人员,,,,,,401037,,3,,,标准,,1
,,,,,当铺店工作人员,,,,,,401038,,1,,,标准,,1
,,,,,药品买卖商、药店营业员,,,,,,401039,,1,,,标准,,1
,,,,,化学原料店营业员,,,,,,401040,,4,,,标准,,1
,,,,,医疗器械营业商、医疗器械店营业员,,,,,,401041,,2,,,标准,,1
,,,,,手工艺品店店员,,,,,,401042,,1,,,标准,,1
,,,,,煤气器具店负责人,,,,,,401043,,1,,,标准,,1
,,,,,煤气器具店营业员,,,,,,401044,,1,,,标准,,1
,,,,,煤气器具店送货员,,,,,,401045,,4,,,标准,,1
,,,,,煤气器具店装设工,,,,,,401046,,4,,,标准,,1
,,,,,液化气零售店负责人,,,,,,401047,,3,,,标准,,1
,,,,,液化气零售店店员,,,,,,401048,,3,,,标准,,1
,,,,,液化气零售店送货员,,,,,,401049,,5,,,标准,,1
,,,,,液化气零售店液化气分装工,,,,,,401050,,5,,,标准,,1
,,,,,液化气零售店旧货收购人员,,,,,,401051,,4,,,标准,,1
,,,,,超市收银员,,,,,,401052,,1,,,标准,,1
,,,,,超市搬运工(中小型超市),,,,,,401053,,2,,,标准,,1
,,,,,超市搬运工(大型仓储式超市),,,,,,401054,,4,,,标准,,1
,,,,,废品收购相关人员,,,,,,401055,,3,,标准,,1,
,,,,,化妆品买卖商,,,,,,401056,,1,,标准,,1,
,,,,,农药买卖商,,,,,,401057,,3,,,标准,,1
,,,,,香烛买卖商,,,,,,401058,,2,,,标准,,1
,,,,,琴行、乐器行销售人员,,,,,,401059,,1,,,标准,,1
服务业41,银行、保险、信托、租赁业411,,,,一般内勤人员,,,,,,411001,,1,,,标准,,1
,,,,,外务员,,,,,,411002,,2,,,标准,,1
,,,,,调查员,,,,,,411003,,2,,,标准,,1
,,,,,"现金运送员,司机",,,,,,411004,,5,,,25,,1.5
,自由业412,,,,律师,,,,,,412001,,1,,,标准,,1
,,,,,会计师,,,,,,412002,,1,,,标准,,1
,,,,,代理机构工作人员(内勤),,,,,,412003,,1,,,标准,,1
,,,,,经纪人(内勤),,,,,,412004,,1,,,标准,,1
,,,,,外勤人员,,,,,,412005,,2,,,标准,,1
,,,,,自由投资者,,,,,,412006,,1,,,标准,,1
,其他413,,,,公证处外务员,,,,,,413001,,2,,,标准,,1
,,,,,海关报关员,,,,,,413002,,2,,,标准,,1
,,,,,理发师,,,,,,413003,,3,,,标准,,1
,,,,,美容师,,,,,,413004,,2,,,标准,,1
,,,,,钟表匠,,,,,,413005,,2,,,标准,,1
,,,,,鞋匠、雨伞匠、锁匠,,,,,,413006,,3,,,标准,,1
,,,,,洗衣店工人,,,,,,413007,,3,,,标准,,1
,,,,,大楼管理员,,,,,,413008,,2,,,标准,,1
,,,,,照相馆摄影师,,,,,,413009,,1,,,标准,,1
,,,,,道路清洁工,,,,,,413010,,3,,,标准,,1
,,,,,下水道清洁工,,,,,,413011,,5,,,标准,,1
,,,,,清洁、打蜡人员(地面作业),,,,,,413012,,2,,,标准,,1
,,,,,高楼外部清洁工,,,,,,413013,,拒保,,,50,,拒保
,,,,,车辆保管人员、停车场、收费站收费人员,,,,,,413014,,2,,,标准,,1
,,,,,加油站人员,,,,,,413015,,3,,,标准,,1
,,,,,烟囱清洁工,,,,,,413016,,拒保,,,50,,拒保
,,,,,高速公路清洁工,,,,,,413017,,拒保,,,50,,拒保
,,,,,单位采购员,,,,,,413018,,3,,,标准,,1
,,,,,公共浴室负责人及柜台人员,,,,,,413019,,2,,,标准,,1
,,,,,公共浴室工作人员,,,,,,413020,,3,,,标准,,1
,,,,,勤杂工、门卫,,,,,,413021,,3,,,标准,,1
,,,,,洗水塔工人,,,,,,413022,,6,,,25,,1.5
,,,,,搬家工人,,,,,,413023,,6,,,25,,1.5
,,,,,汽车美容装潢,,,,,,413024,,2,,,标准,,1
,,,,,裁缝师,,,,,,413025,,2,,,标准,,1
,,,,,齿模制作,,,,,,413026,,2,,,标准,,1
,,,,,调酒师,,,,,,413027,,2,,,标准,,1
,,,,,救难人员（平地）,,,,,,413028,,6,,,25,,1.5
,,,,,救难人员（山区）,,,,,,413029,,拒保,,,50,,2
,,,,,水电工人,,,,,,413030,,5,,,标准,,1
,,,,,洗车工人,,,,,,413031,,2,,,标准,,1
,,,,,刻制印章工人,,,,,,413032,,2,,,标准,,1
,,,,,拍卖师,,,,,,413033,,1,,,标准,,1
,,,,,典当业务员,,,,,,413034,,1,,,标准,,1
,,,,,殡葬服务人员,,,,,,,,,,,,,
,,,,,殡葬服务人员-殡仪服务员,,,,,,413035,,1,,,标准,,1
,,,,,殡葬服务人员-尸体接运工,,,,,,413036,,4,,,标准,,1
,,,,,殡葬服务人员-尸体防腐工,,,,,,413037,,4,,,标准,,1
,,,,,殡葬服务人员-尸体整容工,,,,,,413038,,2,,,标准,,1
,,,,,殡葬服务人员-尸体火化工,,,,,,413039,,3,,,标准,,1
,,,,,殡葬服务人员-墓地管理员,,,,,,413040,,2,,,标准,,1
,,,,,物业管理人员,,,,,,413041,,2,,,标准,,1
家庭管理42,家庭管理421,,,,家庭主妇,,,,,,421001,,1,,,标准,,1
,,,,,退休人员,,,,,,421002,,1,,,标准,,1
,,,,,家政服务（包括全职和钟点工）,,,,,,421003,,3,,,标准,,1
治安人员43,治安人员431,,,,大楼、商厦、商店保安人员,,,,,,431001,,3,,,标准,,1
,,,,,负有巡逻押运任务的保安人员,,,,,,431002,,6,,,25,,1.5
,,,,,民警(内勤),,,,,,431003,,2,,,标准,,1
,,,,,民警(外勤),,,,,,431005,,4,,,标准,,1
,,,,,监狱看守所管理人员,,,,,,431006,,4,,,标准,,1
,,,,,交通警察,,,,,,431007,,5,,,25,,1.5
,,,,,刑警,,,,,,431008,,个案,,,个案,,个案
,,,,,警校学生,,,,,,431009,,拒保,,,拒保,,拒保
,,,,,消防队队员,,,,,,431010,,个案,,,个案,,个案
,,,,,警卫员（不负保镖任务）,,,,,,431011,,4,,,标准,,1
,,,,,单位保卫科工作人员,,,,,,431012,,3,,,标准,,1
,,,,,门卫（负保安任务）,,,,,,431013,,4,,,标准,,1
,,,,,门卫（不负保安任务）,,,,,,431014,,2,,,标准,,1
军人44,现役军人441,,,,行政及内勤人员,,,,,,441001,,1,,,标准,,1
,,,,,一般地面部队人员,,,,,,441002,,4,,,标准,,1
,,,,,武警官兵(需执行任务),,,,,,441003,,个案,,,个案,,个案
,,,,,其他武警官兵,,,,,,441004,,视情形而定,,,视情形而定,,视情形而定
,,,,,军医院官兵:请参阅医院,,,,,,,,,,,,,
,,,,,军事单位武器弹药研究及管理人员,,,,,,441006,,拒保,,,拒保,,拒保
,,,,,前线军人,,,,,,441007,,拒保,,,拒保,,拒保
,,,,,军校学生、受训新兵,,,,,,441008,,拒保,,,拒保,,拒保
,,,,,飞行官兵、巡洋舰艇及潜水艇官兵,,,,,,441009,,拒保,,,拒保,,拒保
,,,,,特种兵(海军陆战队、伞兵、水中爆破兵、化学兵、爆破工兵),,,,,,441010,,拒保,,,拒保,,拒保
咨讯业45,咨讯业451,,,,维护工程师,,,,,,451001,,2,,,标准,,1
,,,,,系统工程师,,,,,,451002,,1,,,标准,,1
,,,,,销售工程师,,,,,,451003,,1,,,标准,,1
,,,,,一般行政内勤,,,,,,451004,,1,,,标准,,1
,计算机与应用工程技术人员452,,,,计算机硬件技术人员,,,,,,452001,,2,,,标准,,1
,,,,,计算机软件技术人员,,,,,,452002,,1,,,标准,,1
,,,,,计算机网络技术人员,,,,,,452003,,1,,,标准,,1
,,,,,计算机系统分析技术人员,,,,,,452004,,1,,,标准,,1
,,,,,计算机乐谱制作师,,,,,,452005,,1,,,标准,,1
,,,,,数字视频合成师,,,,,,452006,,1,,,标准,,1
,,,,,计算机软件产品检验员,,,,,,452007,,1,,,标准,,1
职业运动人员46,高尔夫球461,,,,高尔夫球教练,,,,,,461001,,2,,,标准,,1
,,,,,高尔夫球运动员,,,,,,461002,,2,,,标准,,1
,保龄球461,,,,保龄球教练,,,,,,461003,,2,,,标准,,1
,,,,,保龄球运动员,,,,,,461004,,2,,,标准,,1
,桌球461,,,,桌球教练,,,,,,461005,,2,,,标准,,1
,,,,,桌球运动员,,,,,,461006,,2,,,标准,,1
,羽毛球461,,,,羽毛球教练,,,,,,461007,,2,,,标准,,1
,,,,,羽毛球运动员,,,,,,461008,,4,,,标准,,1
,游泳461,,,,游泳教练,,,,,,461009,,2,,,标准,,1
,,,,,游泳运动员,,,,,,461010,,3,,,标准,,1
,射箭461,,,,射箭教练,,,,,,461011,,2,,,标准,,1
,,,,,射箭运动员,,,,,,461012,,2,,,标准,,1
网球461,,,网球教练,,,,,,461013,,2,,标准,,,1,,
,,,网球运动员,,,,,,461014,,4,,标准,,,1,,
垒球461,,,垒球教练,,,,,,461015,,2,,标准,,,1,,
,,,垒球运动员,,,,,,461016,,4,,标准,,,1,,
溜冰461,,,溜冰教练,,,,,,461017,,3,,标准,,,1,,
,,,溜冰运动员,,,,,,461018,,4,,标准,,,1,,
射击461,,,射击教练,,,,,,461019,,2,,标准,,,1,,
,,,射击运动员,,,,,,461020,,2,,标准,,,1,,
举重461,,,举重教练,,,,,,461021,,2,,标准,,,1,,
,,,举重运动员,,,,,,461022,,4,,标准,,,1.5,,
篮球461,,,篮球教练,,,,,,461023,,2,,标准,,,1,,
,,,篮球运动员,,,,,,461024,,4,,25,,,1.5,,
排球461,,,排球教练,,,,,,461025,,2,,标准,,,1,,
,,,排球运动员,,,,,,461026,,4,,标准,,,1,,
棒球461,,,棒球教练,,,,,,461027,,2,,标准,,,1,,
,,,棒球运动员,,,,,,461028,,4,,标准,,,1,,
田径461,,,田径教练,,,,,,461029,,2,,标准,,,1,,
,,,田径运动员,,,,,,461030,,4,,标准,,,1,,
体操461,,,体操教练,,,,,,461031,,2,,标准,,,1,,
,,,体操运动员,,,,,,461032,,4,,标准,,,1,,
帆船461,,,帆船教练,,,,,,461033,,3,,标准,,,1,,
,,,帆船运动员,,,,,,461034,,4,,标准,,,1,,
划船461,,,划船教练,,,,,,461035,,3,,标准,,,1,,
,,,划船运动员,,,,,,461036,,4,,标准,,,1,,
泛舟461,,,泛舟教练,,,,,,461037,,3,,标准,,,1,,
,,,泛舟运动员,,,,,,461038,,4,,标准,,,1,,
冲浪板461,,,冲浪板教练,,,,,,461041,,5,,标准,,,1,,
,,,冲浪板运动员,,,,,,461042,,5,,25,,,1.5,,
水上摩托车,,,水上摩托车教练,,,,,,461043,,5,,标准,,,1,,
,,,水上摩托车运动员,,,,,,461044,,5,,25,,,1.5,,
足球461,,,足球教练,,,,,,461045,,5,,标准,,,1,,
,,,足球运动员,,,,,,461046,,5,,25,,,1.5,,
曲棍球461,,,曲棍球教练,,,,,,461047,,4,,标准,,,1,,
,,,曲棍球运动员,,,,,,461048,,6,,25,,,2,,
冰上曲棍球461,,,冰上曲棍球教练,,,,,,461049,,4,,标准,,,1,,
,,,冰上曲棍球运动员,,,,,,461050,,6,,25,,,2,,
橄榄球461,,,橄榄球教练,,,,,,461051,,4,,标准,,,1,,
,,,橄榄球运动员,,,,,,461052,,6,,25,,,2,,
摔跤461,,,摔跤教练,,,,,,461053,,4,,标准,,,1,,
,,,摔跤运动员,,,,,,461054,,6,,25,,,2,,
柔道461,,,,柔道教练,,,,,461055,,4,,标准,,,1,,
,,,,柔道运动员,,,,,461056,,6,,25,,,2,,
空手道461,,,空手道教练,,,,,,461057,,4,,标准,,,1,,
,,,空手道运动员,,,,,,461058,,6,,25,,,2,,
跆拳道461,,,跆拳道教练,,,,,,461059,,4,,标准,,,1,,
,,,跆拳道运动员,,,,,,461060,,6,,25,,,2,,
武术461,,,武术教练,,,,,,461061,,4,,标准,,,1,,
,,,武术运动员,,,,,,461062,,拒保,,25,,,拒保,,
拳击461,,,拳击教练,,,,,,461063,,4,,标准,,,1,,
,,,拳击运动员,,,,,,461064,,拒保,,25,,,拒保,,
潜水461,,,潜水教练,,,,,,461065,,拒保,,25,,,拒保,,
,,,潜水运动员,,,,,,461066,,拒保,,50,,,拒保,,
划水461,,,划水教练,,,,,,461067,,拒保,,25,,,拒保,,
,,,划水运动员,,,,,,461068,,拒保,,25,,,拒保,,
滑雪461,,,滑雪教练,,,,,,461069,,拒保,,25,,,拒保,,
,,,滑雪运动员,,,,,,461070,,拒保,,25,,,拒保,,
马术461,,,马术教练,,,,,,461071,,拒保,,25,,,拒保,,
,,,马术运动员,,,,,,461072,,拒保,,25,,,拒保,,
特技表演461,,,特技表演教练,,,,,,461073,,拒保,,25,,,拒保,,
,,,特技表演运动员,,,,,,461074,,拒保,,拒保,,,拒保,,
雪车461,,,雪车教练,,,,,,461075,,拒保,,拒保,,,拒保,,
,,,雪车运动员,,,,,,461076,,拒保,,拒保,,,拒保,,
滑翔机具461,,,滑翔机具教练,,,,,,461077,,拒保,,拒保,,,拒保,,
,,,滑翔机具运动员,,,,,,461078,,拒保,,拒保,,,拒保,,
汽车摩托车赛车461,,,汽车摩托车赛车教练,,,,,,461079,,拒保,,拒保,,,拒保,,
,,,汽车摩托车赛车运动员,,,,,,461080,,拒保,,拒保,,,拒保,,
跳伞461,,,跳伞教练,,,,,,461081,,拒保,,拒保,,,拒保,,
,,,跳伞运动员,,,,,,461082,,拒保,,拒保,,,拒保,,
击剑461,,,击剑教练,,,,,,461083,,2,,标准,,,1,,
,,,击剑运动员,,,,,,461084,,4,,标准,,,1,,
乒乓球461,,,乒乓球教练员,,,,,,461085,,2,,标准,,,1,,
,,,乒乓球运动员,,,,,,461086,,3,,标准,,,1,,
手球461,,,手球教练员,,,,,,461087,,2,,标准,,,1,,
,,,手球运动员,,,,,,461088,,3,,标准,,,1,,
跳水461,,,跳水教练员,,,,,,461089,,3,,标准,,,1,,
,,,跳水运动员,,,,,,461090,,拒保,,标准,,,拒保,,
棋牌461,,,棋牌教练员,,,,,,461091,,1,,标准,,,1,,
,,,棋牌运动员,,,,,,461092,,1,,标准,,,1,,
自行车461,,,自行车教练员,,,,,,461093,,2,,标准,,,1,,
,,,自行车运动员,,,,,,461094,,3,,标准,,,1,,
滑草461,,,滑草教练,,,,,,461095,,3,,标准,,,1,,
,,,滑草运动员,,,,,,461096,,3,,标准,,,1,,
,角力461,,,,角力教练,,,,,,461097,,3,,,标准,,1.5
,,,,,角力运动员,,,,,,461098,,拒保,,,拒保,,拒保
,裁判人员461,,,,,裁判人员,,,,,461099,,2,,,标准,,1
其他47,个体经营及商贩471,,,,,个体经营及商贩,,,,,471001,,3,,,标准,,1
,无业471,,,,待业人员、下岗人员,,,,,,471002,,2,,,标准,,1
,,,,,无固定职业者,,,,,,471003,,2,,,标准,,1