新版六类职业分类表,,,,,,,,,,对应类别,,,
,,,,,前厅服务员,,,,602006,1,,,标准
,,,,,客房服务员,,,,602007,1,,,标准
,,,,,锅炉工,,,,602008,5,,,1.25
,,,餐饮业,,经理人员,,,,603001,1,,,标准
,,,,,一般内勤,,,,603002,1,,,标准
,,,,,柜台人员,,,,603003,1,,,标准
,,,,,收帐员,,,,603004,1,,,标准
,,,,,采购人员,,,,603005,2,,,标准
,,,,,厨师(一般餐饮业),,,,603006,4,,,标准
,,,,,服务人员,,,,603007,2,,,标准
,,,,,厨师(星级酒店),,,,603008,2,,,标准
,面点师,,,,,,603009,2,,,标准,,
,厨房杂工,,,,,,603010,3,,,标准,,
,餐具清洗保管员,,,,,,603011,2,,,标准,,
,调酒师,,,,,,603012,1,,,标准,,
娱乐场所,咖啡厅工作人员,,,,,,1109001,2,,,标准,,
,茶室工作人员,,,,,,1109002,2,,,标准,,
,酒家工作人员,,,,,,1109003,2,,,标准,,
,网吧工作人员,,,,,,1109004,2,,,标准,,
,舞厅工作人员,,,,,,1109005,4,,,1.5,,
,歌厅工作人员,,,,,,1109006,4,,,1.5,,
,酒吧工作人员,,,,,,1109007,4,,,1.5,,
,负责人,,,,,,1109008,3,,,标准,,
,DJ,,,,,,1109009,3,,,标准,,
,调酒师,,,,,,1109010,3,,,标准,,
,歌唱人员,,,,,,1109011,3,,,标准,,
,乐队人员,,,,,,1109012,3,,,标准,,
,舞蹈演艺人员,,,,,,1109013,4,,,标准,,
,迎宾,,,,,,1109014,3,,,标准,,
,电子游戏厅工作人员,,,,,,1109015,3,,,标准,,
,保安人员,,,,,,1109016,4,,,1.75,,
,按摩沐足\桑拿负责人,,,,,,1603021,1,,,标准,,
,按摩沐足\桑拿柜台人员,,,,,,1603022,1,,,标准,,
,按摩沐足\桑拿工作人员,,,,,,1603023,2,,,标准,,
高尔夫球场,教练,,,,,,1102001,2,,,标准,,
,球员,,,,,,1102002,2,,,标准,,
,维护工人,,,,,,1102003,2,,,标准,,
,球童,,,,,,1102004,2,,,标准,,
保龄球馆,记分员,,,,,,1103001,1,,,标准,,
,柜台人员,,,,,,1103002,1,,,标准,,
,机械修护工人,,,,,,1103003,3,,,标准,,
,清洁工人,,,,,,1103004,2,,,标准,,
撞球馆,负责人,,,,,,1104001,2,,,标准,,
,记分员,,,,,,1104002,2,,,标准,,
游泳池,负责人,,,,,,1105001,1,,,标准,,
,管理员,,,,,,1105002,1,,,标准,,
,教练,,,,,,1105003,2,,,标准,,
,售票员,,,,,,1105004,1,,,标准,,
,救生员,,,,,,1105005,4,,,标准,,
海水浴场,负责人,,,,,,1106001,1,,,标准,,
,管理员,,,,,,1106002,1,,,标准,,
,售票员,,,,,,1106003,1,,,标准,,
,救生员,,,,,,1106004,5,,,1.5,,
游乐园,负责人,,,,,,1107001,1,,,标准,,
,售票员,,,,,,1107002,1,,,标准,,
,电动玩具操作员,,,,,,1107003,2,,,标准,,
,一般清洁工,,,,,,1107004,2,,,标准,,
,兽栏清洁工,,,,,,1107005,4,,,1.25,,
服务业,,,,,,,,,,,,,
,,,,,水电机械工,,,,1107006,4,,,1.25
,,,,,动物园驯兽师,,,,1107007,拒保,,,拒保
,,,,,饲养人员,,,,1107008,6,,,2
,,,,,兽医(动物园),,,,1107009,2,,,标准
,,,煤气,,煤气工程师,,,,1404001,2,,,标准
,,,,,煤气管线装修工,,,,1404002,4,,,1.5
,,,,,收费员，抄表员,,,,1404003,2,,,标准
,,,,,煤气检查员,,,,1404004,2,,,标准
,,,,,煤气器具制造工,,,,1404005,4,,,1.5
,,,热力公司,,热力网工程师,,,,1404006,2,,,标准
,,,,,管线装修工,,,,1404007,4,,,1.25
,,,自由业,,会计师,,,,1602002,1,,,标准
,,,,,代书(内勤),,,,1602003,1,,,标准
,,,,,经纪人(内勤),,,,1602004,1,,,标准
,,,,,外勤人员,,,,1602005,2,,,标准
,,,社会服务,,公证行外务员,,,,1603001,2,,,标准
,,,,,报关行外务员,,,,1603002,2,,,标准
,,,,,中介机构内勤人员,,,,1603025,1,,,标准
,,,,,中介机构外勤人员,,,,1603026,2,,,标准
,,,美容美发,,理发师,,,,1603003,1,,,标准
,,,,,美容师,,,,1603004,1,,,标准
,,,其他,,钟表匠,,,,1603005,1,,,标准
,,,,,鞋匠，雨伞匠,,,,1603006,2,,,标准
,,,,,洗衣店工人,,,,1603007,2,,,标准
,,,,,警卫人员(内勤),,,,1603009,2,,,标准
,,,,,警卫人员(负有巡逻押运任务者),,,,1603010,4,,,1.5
,,,,,物业管理员,,,,1603011,2,,,标准
,,,,,摄影师,,,,1603012,1,,,标准
,,,,,道路清洁工,,,,1603013,3,,,标准
,,,,,下水道清洁工,,,,1603014,4,,,1.5
,,,,,清洁，打腊工人,,,,1603015,2,,,标准
,,,,,高楼外部清洁工,,,,1603016,5,,,2
,,,,,车辆保管人员,,,,1603017,2,,,标准
,,,,,加油站人员,,,,1603018,2,,,标准
,,,,,地磅人员,,,,1603019,2,,,标准
,,,,,烟囱清洁工,,,,1603020,拒保,,,拒保
,,,,,勤杂工,,,,1603024,3,,,标准
,,,家庭管理,,家庭主妇,,,,1700001,2,,,标准
,,,,,家政服务人员,,,,1700002,2,,,标准
教育机构,,,教育机构,,教师,,,,1201001,1,,,标准
,,,,,学生,,,,1201002,1,,,标准
,,,,,校工,,,,1201003,2,,,标准
,,,,,体育教师,,,,1201004,2,,,标准
,,,,,武术学校学生,,,,1201006,4,,,1.25
,,,,,武术学校教练,,,,1201007,3,,,标准
,,,,,技工学校学生,,,,1201008,2,,,标准
,,,,,军训教官,,,,1201005,2,,,标准
,,,其他教学人员,,汽车驾驶训练班教练,,,,1202007,3,,,标准
,,,,,飞行教官,,,,1201009,6,,,1.5
,,,,,飞行训练学员,,,,1201010,6,,,1.5
,,,,,军\警校学生,,,,1201011,拒保,,,1.75
邮政,,,邮政,,内勤人员,,,,1401001,1,,,标准
,,,,,外勤邮务人员,,,,1401002,2,,,标准
,,,,,包裹搬运人员,,,,1401003,2,,,标准
,,,,,火车\汽车邮件押运员,,,,1401004,3,,,标准
,,,,,轮船邮件押运员,,,,1401005,4,,,标准
,,,,,报刊发行\零售人员,,,,1401006,1,,,标准
,,,,,邮政设备安装维护人员,,,,1401007,3,,,标准
,,,快递,,快递人员(摩托车),,,,1401008,6,,,2
,,,,,快递人员(汽车),,,,1401009,4,,,标准
电信及电力,,,电信及电力,,内勤人员,,,,1402001,1,,,标准
,,,,,抄表员，收费员,,,,1402002,2,,,标准
,,,,,电信装置维护修理工,,,,1402003,3,,,标准
,,,,,电力装置维护修理工,,,,1402004,4,,,标准
,,,,,电力工程设施之架设人员,,,,1402006,5,,,1.5
,,,,,电力高压电工程设施人员,,,,1402007,拒保,,,拒保
,,,,,电台天线维护人员,,,,1402008,5,,,拒保
,,,,,发电\变电\输电工程技术人员,,,,1402009,3,,,标准
,,,,,通信工程技术人中,,,,1402010,2,,,标准
,,,,,电话\通信天线架设\维护人员,,,,1402011,4,,,1.25
,,,,,市话障碍处理人员,,,,1402012,2,,,标准
,,,,,"通信系统供电\空调设备安装\维护人员",,,,1402013,4,,,1.5
,,,电力设备安装,,水轮机设备安装工人,,,,1402014,4,,,1.25
,,,,,锅炉设备安装工人,,,,1402015,4,,,1.25
,,,,,汽轮机设备安装工人,,,,1402016,4,,,1.25
,,,,,发电机设备安装工人,,,,1402017,4,,,1.25
,,,,,热工仪表控制装置安装试验工,,,,1402018,4,,,1.25
,,,,,发电厂电气设备安装工人,,,,1402019,4,,,1.25
,,,发电运行,,水轮发电机值班人员,,,,1402020,3,,,标准
,,,,,燃料值班人员,,,,1402021,2,,,标准
,,,,,锅炉运行值班人员,,,,1402022,4,,,标准
,,,,,锅炉辅机值班人员,,,,1402023,4,,,标准
,,,,,汽轮机运行值班人员,,,,1402024,3,,,标准
,,,,,热力网值班人员,,,,1402025,3,,,标准
,,,,,电气值班人员,,,,1402026,3,,,标准
,,,,,集控值班人员,,,,1402027,3,,,标准
,,,,,发电机氢冷值班人员,,,,1402028,3,,,标准
,,,,,电厂水处理值班人员,,,,1402029,3,,,标准
,,,,,送电\配电线路工人,,,,1402030,5,,,1.5
,,,,,变电站值班人员,,,,1402031,5,,,1.5
,,,,,调相机值班人员,,,,1402032,4,,,1.25
,,,,,换流站值班人员,,,,1402033,4,,,1.25
,,,"输电\配电\变电设备",,变电设备安装工人,,,,1402034,4,,,1.25
,,,,,变配电室值班电工,,,,1402035,4,,,1.25
,,,,,常用电机检修工人,,,,1402036,4,,,1.25
,,,,,牵引电力线路安装维护工人,,,,1402037,6,,,2
,,,,,维修电工,,,,1402038,5,,,1.5
,,,电力设备检修,,锅炉本体设备检修工人,,,,1402039,5,,,1.5
,,,,,锅炉附属设备检修工人,,,,1402040,5,,,1.5
,,,,,汽轮机本体设备检修工人,,,,1402041,4,,,1.25
,,,,,汔轮机附属设备检修工人,,,,1402042,4,,,1.25
,,,,,发电厂电动机检修工人,,,,1402043,4,,,1.25
,,,,,水轮机检修工人,,,,1402044,4,,,1.25
,,,,,水电站水力机械试验工人,,,,1402045,3,,,标准
,,,,,水电自动装置检修工人,,,,1402046,4,,,1.25
,,,,,高压线路带电检修工人,,,,1402047,拒保,,,拒保
,,,,,变压器检修工人,,,,1402048,5,,,1.5
,,,,,变电设备检修工人,,,,1402049,5,,,1.5
,,,,,电气试验人员,,,,1402050,4,,,1.25
,,,,,继电保护人员,,,,1402051,4,,,1.25
,,,供电,,电务负荷控制人员,,,,1402052,3,,,标准
,,,,,用电监察人员,,,,1402053,3,,,标准
,,,,,装表核算收费人员,,,,1402054,2,,,标准
,,,,,装表接电工人,,,,1402055,4,,,1.25
,,,,,电能计量装置检修工人,,,,1402056,3,,,标准
水利,,,水利,,工程师,,,,1403001,2,,,标准
,,,,,水坝，水库管理人员,,,,1403002,3,,,标准
,,,,,水利工程设施人员,,,,1403003,4,,,标准
,,,,,自来水管装修人员,,,,1403004,3,,,标准
,,,,,抄表员，收费员,,,,1403005,2,,,标准
,,,,,自来水厂水质分析员(实地),,,,1403006,3,,,标准
,,,,,河道修防工人,,,,1403007,5,,,1.25
,,,,,河道堤坝巡护人员,,,,1403008,4,,,1.25
,,,,,混凝土工程维护人员,,,,1403009,4,,,1.25
,,,,,土石工程维护人员,,,,1403010,4,,,1.25
,,,,,农田灌排施工\管护人员,,,,1403011,3,,,标准
,,,,,水文勘测人员,,,,1403012,2,,,标准
,,,,,水文勘测船人员,,,,1403013,4,,,1.25
,,,,,水土保持防治人员,,,,1403014,2,,,标准
,,,,,水土保持测试人员,,,,1403015,2,,,标准
,,,,,水土保持勘测人员,,,,1403016,2,,,标准
,,,,,负责人,,,,1202001,1,,,标准
,,,,,店员,,,,1202002,1,,,标准
,,,,,外务员,,,,1202003,2,,,标准
,,,,,送货员,,,,1202004,2,,,标准
,,,,,采购员,,,,1501059,2,,,标准
,,,,,厨具商,,,,1501001,1,,,标准
,,,,,陶瓷器商,,,,1501002,1,,,标准
,,,,,古董商,,,,1501003,1,,,标准
商业,花卉商,,,,,,1501004,1,,,标准,,
,米商,,,,,,1501005,1,,,标准,,
,杂货商,,,,,,1501006,1,,,标准,,
,玻璃商,,,,,,1501007,2,,,标准,,
,果菜商,,,,,,1501008,1,,,标准,,
,石材商,,,,,,1501009,2,,,标准,,
,建材商,,,,,,1501010,2,,,标准,,
,铁材商,,,,,,1501011,2,,,标准,,
,木材商,,,,,,1501012,2,,,标准,,
,五金商,,,,,,1501013,2,,,标准,,
,电脑\电器商,,,,,,1501014,2,,,标准,,
,水电卫生器材商,,,,,,1501015,2,,,标准,,
,家俱商,,,,,,1501016,1,,,标准,,
,自行车买卖商,,,,,,1501017,1,,,标准,,
,机车买卖商,,,,,,1501018,1,,,标准,,
,汽车买卖商,,,,,,1501019,1,,,标准,,
,车辆器材商(不含矿物油),,,,,,1501020,2,,,标准,,
,矿物油买卖商,,,,,,1501021,3,,,标准,,
,眼镜商,,,,,,1501022,1,,,标准,,
,食品商,,,,,,1501023,1,,,标准,,
,文具商,,,,,,1501024,1,,,标准,,
,布商,,,,,,1501025,1,,,标准,,
,服饰买卖商,,,,,,1501026,1,,,标准,,
,鱼贩,,,,,,1501027,4,,,标准,,
,肉贩,,,,,,1501028,4,,,标准,,
,药品买卖商,,,,,,1501031,1,,,标准,,
,化学原料商,,,,,,1501032,3,,,标准,,
,医疗机械仪器商,,,,,,1501033,2,,,标准,,
,手工艺品买卖商,,,,,,1501034,1,,,标准,,
,瓦斯器具负责人,,,,,,1501035,1,,,标准,,
,瓦斯器具店员,,,,,,1501036,1,,,标准,,
,瓦斯器具送货员,,,,,,1501037,3,,,标准,,
,瓦斯器具装设工,,,,,,1501038,3,,,标准,,
,液化瓦斯零售负责人,,,,,,1501039,2,,,标准,,
,液化瓦斯零售店员,,,,,,1501040,2,,,标准,,
,液化瓦斯送货员,,,,,,1501041,4,,,1.25,,
,液化瓦斯瓦料分装工,,,,,,1501042,5,,,1.5,,
,液化瓦斯旧货收购人员,,,,,,1501043,3,,,标准,,
,熟食商(使用刀具者),,,,,,1501044,3,,,标准,,
拍卖\典当\租 赁,拍卖师,,,,,,1501045,1,,,标准,,
,典当业务员,,,,,,1501046,1,,,标准,,
,租赁业务员,,,,,,1501047,1,,,标准,,
"废旧物资料回收",废旧物资回收挑选工人,,,,,,1501048,2,,,标准,,
,废旧物资料加工工人,,,,,,1501049,3,,,标准,,
市场管理,商品监督员,,,,,,1501050,1,,,标准,,
,市场管理员,,,,,,1501051,2,,,标准,,
,,保管员,,,,,1501052,3,,,标准,,
商业,,,,,,,,,,,,,
,,,仓储保管,,理货员,,,,1501053,2,,,标准
,,,,,保鲜员,,,,1501054,2,,,标准
,,,,,冷藏工人,,,,1501055,3,,,标准
,,,,,货柜场检查员(立于货柜上),,,,1501056,4,,,标准
,,,,,起重机操作员(于控制室内),,,,1501057,2,,,标准
,,,,,起重机操作员,,,,1501058,4,,,1.25
金融\法律 行业,,,银行\保险\信 托\租赁,,一般内勤,,,,1601001,1,,,标准
,,,,,外务员,,,,1601002,2,,,标准
,,,,,收费员,,,,1601003,2,,,标准
,,,,,调查员,,,,1601004,2,,,标准
,,,,,徵信人员,,,,1601005,2,,,标准
,,,法律,,法官,,,,1601007,1,,,标准
,,,,,检察官,,,,1601008,1,,,标准
,,,,,律师,,,,1602001,1,,,标准
,,,,,公证员,,,,1601009,1,,,标准
,,,,,法医,,,,1601010,2,,,标准
,,,,,书记员,,,,1601011,1,,,标准
,,,,,商业犯罪调查处理人员,,,,1601012,3,,,标准
资讯业,,,计算机与应用,,维护工程师,,,,2000001,2,,,标准
,,,,,系统工程师,,,,2000002,1,,,标准
,,,,,销售工程师,,,,2000003,1,,,标准
,,,,,计算机硬件技术人员,,,,2000004,2,,,标准
,,,,,计算机软件技术人员,,,,2000005,1,,,标准
,,,,,计算机网络技术人员,,,,2000006,1,,,标准
安全保卫\ 消防,,,警察,,警务行政及内勤人员,,,,1800001,2,,,标准
,,,,,警察(负责巡逻任务者),,,,1800002,4,,,1.5
,,,,,监狱看守所管理人员,,,,1800003,3,,,标准
,,,,,交通警察,,,,1800004,5,,,1.5
,,,,,刑警,,,,1800005,5,,,拒保
,,,,,消防队队员,,,,1800006,6,,,拒保
,,,,,防暴警察,,,,1800007,拒保,,,拒保
,,,,,缉毒警察,,,,1800008,拒保,,,拒保
,,,,,港口机场警卫及安全人员,,,,1800009,4,,,1.25
,,,治安保卫人员,,保安人员,,,,1800010,4,,,1.25
,,,,,违禁品检查人员,,,,1800011,3,,,标准
,,,,,金融守押人员,,,,1800012,3,,,标准
,,,,,治安调查人员,,,,1800013,3,,,标准
,,,,,消防灭火员,,,,1800014,6,,,2
,,,,,防毒防化防核抢险人员,,,,1800015,拒保,,,拒保
,,,,,一般事故抢险人员,,,,1800016,6,,,2
,,,,,抢险救援器材调配人员,,,,1800017,3,,,标准
,,,,,抢险救援器材维修人员,,,,1800018,3,,,标准
,,,,,火险监督员\防火审核员,,,,1800019,2,,,标准
,,,,,可燃气体\危险品监督员,,,,1800020,3,,,标准
,,,,,,"一般地面部队人员(含陆军野战\机械修护\土木工程\飞弹\战车",,,1900001,3,,,标准
现役军人,,,现役军人,,"特种兵(含海军陆战队员\伞兵\水兵\爆破兵\蛙人\化学兵\布雷排雷工兵\情报单位有特殊任务者)",,,,1900002,拒保,,,拒保
,,,,,"行政及内勤人员(含国防部\三军总部\军校教官等)",,,,1900003,1,,,标准
,,,,,军事纠察,,,,1900004,4,,,标准
,,,,,后勤补给\通讯地勤人员,,,,1900005,3,,,标准
,,,,,军事研究单位纸上设计人员,,,,1900006,1,,,标准
,,,,,"军事单位武器\弹药研究及管理人员",,,,1900007,3,,,标准
,,,,,"空军飞行官兵\海军舰艇官兵\潜艇官兵",,,,1900008,拒保,,,拒保
,,,,,前线军人,,,,1900009,拒保,,,拒保
,,,保龄球,,教练,,,,2102001,2,,,标准
,,,,,保龄球球员,,,,2102002,2,,,标准
,,,桌球,,教练,,,,2103001,2,,,标准
,,,,,桌球球员,,,,2103002,2,,,标准
,,,羽球,,教练,,,,2104001,2,,,标准
,,,,,羽球球员,,,,2104002,2,,,标准
,,,游泳,,教练,,,,2105001,2,,,标准
,,,,,游泳人员,,,,2105002,2,,,标准
,,,射箭,,教练,,,,2106001,2,,,标准
,,,,,射箭人员,,,,2106002,2,,,标准
,,,网球,,教练,,,,2107001,2,,,标准
,,,,,网球人员,,,,2107002,2,,,标准
,,,垒球,,教练,,,,2108001,2,,,标准
,,,,,垒球人员,,,,2108002,2,,,标准
,,,壁球,,工作人员,,,,2108003,2,,,标准
,,,,,教练,,,,2108004,2,,,标准
,,,滑冰,,教练,,,,2109001,2,,,标准
,,,,,溜冰人员,,,,2109002,2,,,标准
,,,射击,,教练,,,,2110001,2,,,标准
,,,,,射击人员,,,,2110002,2,,,标准
,,,民俗体育活动,,教练,,,,2111001,2,,,标准
,,,,,民俗体育活动人员,,,,2111002,2,,,标准
,,,举重,,教练,,,,2112001,2,,,标准
,,,,,举重人员,,,,2112002,3,,,标准
,,,篮球,,教练,,,,2113001,2,,,标准
,,,,,篮球球员,,,,2113002,3,,,标准
,,,排球,,教练,,,,2114001,2,,,标准
,,,,,排球球员,,,,2114002,3,,,标准
,,,棒球,,教练,,,,2115001,2,,,标准
,,,,,棒球球员,,,,2115002,3,,,标准
田径,教练,,,,,,2116001,2,,,标准,,
,与赛人员,,,,,,2116002,3,,,标准,,
体操,教练,,,,,,2117001,2,,,标准,,
,体操人员,,,,,,2117002,3,,,标准,,
滑草,教练,,,,,,2118001,3,,,标准,,
,滑草人员,,,,,,2118002,3,,,标准,,
帆船,教练,,,,,,2119001,4,,,1.5,,
,驾乘人员,,,,,,2119002,4,,,1.5,,
划船,教练,,,,,,2120001,2,,,标准,,
,驾乘人员,,,,,,2120002,3,,,标准,,
泛舟,教练,,,,,,2121001,3,,,标准,,
,驾乘人员,,,,,,2121002,3,,,标准,,
巧固球,教练,,,,,,2122001,2,,,标准,,
,巧固球球员,,,,,,2122002,3,,,标准,,
手球,教练,,,,,,2123001,2,,,标准,,
,手球球员,,,,,,2123002,3,,,标准,,
风浪板,教练,,,,,,2124001,4,,,1.5,,
,驾乘人员,,,,,,2124002,4,,,1.5,,
水上摩托车,教练,,,,,,2125001,4,,,1.5,,
,驾乘人员,,,,,,2125002,4,,,1.5,,
足球,教练,,,,,,2126001,2,,,标准,,
,足球球员,,,,,,2126002,4,,,1.25,,
曲棍球,教练,,,,,,2127001,2,,,标准,,
,曲棍球球员,,,,,,2127002,5,,,1.25,,
冰上曲棍球,教练,,,,,,2128001,3,,,标准,,
,冰上曲棍球球员,,,,,,2128002,6,,,1.5,,
橄榄球,教练,,,,,,2129001,2,,,标准,,
,橄榄球球员,,,,,,2129002,6,,,2,,
自行车,教练,,,,,,2130001,2,,,标准,,
,自行车人员,,,,,,2130002,3,,,标准,,
角力,教练,,,,,,2131001,3,,,1.5,,
,角力人员,,,,,,2131002,拒保,,,拒保,,
摔交,教练,,,,,,2132001,3,,,1.5,,
,摔跤人员,,,,,,2132002,拒保,,,拒保,,
柔道,教练,,,,,,2133001,3,,,1.5,,
,柔道人员,,,,,,2133002,拒保,,,拒保,,
空手道,教练,,,,,,2134001,3,,,1.5,,
,空手道人员,,,,,,2134002,拒保,,,拒保,,
跆拳道,教练,,,,,,2135001,3,,,1.5,,
,跆拳道人员,,,,,,2135002,拒保,,,拒保,,
武术,武术人员,,,,,,2136001,拒保,,,拒保,,
,教练,,,,,,2136002,3,,,1.5,,
拳击,教练,,,,,,2137001,3,,,标准,,
,拳击人员,,,,,,2137002,拒保,,,拒保,,
潜水,教练,,,,,,2138001,拒保,,,拒保,,
,潜水人员,,,,,,2138002,拒保,,,拒保,,
体育,,,,,,,,,,,,,
,,,滑水,,教练,,,,2139001,拒保,,,拒保
,,,,,滑水人员,,,,2139002,拒保,,,拒保
,,,滑雪,,教练,,,,2140001,拒保,,,拒保
,,,,,滑雪人员,,,,2140002,拒保,,,拒保
,,,马术,,教练,,,,2141001,拒保,,,拒保
,,,,,马术人员,,,,2141002,拒保,,,拒保
,,,特技表演,,教练,,,,2142001,拒保,,,拒保
,,,,,特技表演人员,,,,2142002,拒保,,,拒保
,,,雪车,,教练,,,,2143001,拒保,,,拒保
,,,,,与赛人员,,,,2143002,拒保,,,拒保
,,,滑翔机具,,教练,,,,2144001,拒保,,,拒保
,,,,,驾驶人员,,,,2144002,拒保,,,拒保
,,,汽车、机车赛 车,,教练,,,,2145001,拒保,,,拒保
,,,,,赛车人员,,,,2145002,拒保,,,拒保
,,,跳伞,,教练,,,,2146001,拒保,,,拒保
,,,,,跳伞人员,,,,2146002,拒保,,,拒保
无业,,,无业,,学龄前儿童,,,,2147001,1,,,标准
,,,,,离退休人员（无兼职）,,,,2147003,1,,,标准