泰康在线职业分类表,,,,,
,,,00752030,布类纸品工艺品加工工人,2
,,,00752032,竹木制手工艺品加工工人,3
,,,00752033,漆器工艺品制作人员,3
,,,00752037,皮革手工艺品制作工,2
,,,00752038,砖木制品生产人员,3
,,,00752039,珠宝首饰加工制作人员,2
,,,00752040,美术品制作人员,2
,00753,文体用品制造业,00753001,墨制作工,3
,,,00753002,墨水制造工,2
,,,00753003,墨汁制造工,3
,,,00753004,绘图仪器制作工,2
,,,00753005,静电复印机消耗材制造工,2
,,,00753006,毛笔制作工,2
,,,00753007,自来水笔制作工,2
,,,00753008,圆珠笔制作工,2
,,,00753009,铅笔制造工,3
,,,00753010,印泥制作工,2
,,,00753011,制球工,2
,,,00753012,球拍、球网制作工,2
,,,00753013,健身器材制作工,3
,,,00753014,钢琴及键盘乐器制作工,3
,,,00753015,提琴制作工,3
,,,00753016,管乐器制作工,3
,,,00753017,民族拉弦、弹拨乐器制作工,3
,,,00753018,吹奏乐器制作工,3
,,,00753019,打击乐器制作工,3
,,,00753020,电声乐器制作工,3
008新闻\出版\文化\印刷\广告业,00801,广播电影电视技术人员,00801001,广播电视编播工程技术人员（非高空）,3
,00802,记者,00802001,一般记者,1
,,,00802002,外勤记者,2
,,,00802003,摄影记者,3
,,,00802005,电视记者,2
,00803,编辑,00803001,文字编辑,1
,,,00803002,美术编辑,1
,,,00803003,技术编辑,1
,,,00803004,电子出版物编辑,1
,00804,校对员,00804001,校对员,1
,00805,播音及节目主持人员,00805001,播音员,1
,,,00805002,节目主持员,1
,00806,翻译,00806001,翻译,1
,00807,图书资料与档案业务人员,00807001,图书馆学、情报学研究人员,2
,,,00807002,图书资料业务人员,1
,,,00807003,档案业务人员,1
,,,00807004,微缩摄影人员,2
,,,00807005,负责人(出版商、书店、文具店),1
,,,00807006,店员,1
,,,00807007,外务员,2
,,,00807008,送货员,2
,,,00807009,内勤人员,1
,,,00807010,推销员,2
,,,00807011,送报员,3
,,,00807012,图书馆工作人员,1
,00808,考古及文物保护,00808001,考古工作者,2
,,,00808002,文物鉴定及保管人员,1
,,,00808003,文物保护专业人员,2
,,,00808004,博物馆工作人员,1
,,,00808006,文物修复工,3
,,,00808007,文物拓印工,2
,,,00808008,古旧书画修复工,2
,,,00808009,考古及文物保护工作,2
,,,00808010,翻译,2
,00809,印刷,00809001,排版\制版工人,2
,,,00809002,装订工人,2
,,,00809003,印刷工人,2
,,,00809004,切纸工人,2
,,,00809005,印品整饰工人,2
,00810,宗教人士,00810001,寺庙及教堂管理人员,1
,,,00810002,宗教团体工作人员,1
,,,00810003,僧尼，道士及传教人员,1
,,,00810004,宗教职业者,1
,,,00810005,乩童,1
,00811,新闻广告公关员,00811001,新闻广告公关员,1
,00812,计算机操作员,00812001,计算机操作员,1
,00813,其他新闻出版、文化工作人员,00813001,其他新闻出版、文化工作人员,2
,00814,广告从业人员,00814001,广告设计人员,1
,,,00814004,广告会展设计师,2
,,,00814005,一般内勤,1
,,,00814006,业务员,2
,,,00814007,广告影片拍摄录制人员,2
,,,00814011,广告招牌绘制人员（地面）,3
009卫生保健业,00901,医学研究人员,00901001,医学研究人员,1
,,,00901002,一般医师及护士,1
,,,00901003,精神病医师，看护，护士,3
,,,00901004,化验技师,1
,00902,西医医师,00902001,内科医师,1
,,,00902002,外科医师,1
,,,00902003,儿科医师,1
,,,00902004,妇产科医师,1
,,,00902005,眼科医师,1
,,,00902006,耳鼻喉科医师,1
,,,00902007,口腔科医师,1
,,,00902008,皮肤科医师,1
,,,00902009,精神科医师,3
,,,00902010,心理医师,1
,,,00902011,传染病科医师,3
,,,00902012,急诊科医师,2
,,,00902013,康复科医师,2
,,,00902014,麻醉科医师,2
,,,00902015,病理科医师,2
,,,00902019,全科医师,2
,,,00902020,乡村医师,2
,,,00902021,妇女保健医师,2
,,,00902022,输（采供）血医师,2
,00903,中医医师,00903001,中医内科医师,2
,,,00903002,中医外科医师,2
,,,00903003,中医妇科医师,2
,,,00903004,中医儿科医师,2
,,,00903005,中医眼医疗医师,2
,,,00903006,中医皮肤科医师,2
,,,00903007,中医骨伤科医师,2
,,,00903008,中医肛肠科医师,2
,,,00903009,中医耳鼻喉科医师,2
,,,00903010,针炙科医师,2
,,,00903011,推拿按摩科医师,2
,00904,中西医结合医师,00904001,中西医结合医师,2
,00905,民族医师,00905001,民族医师,2
,00906,公共卫生医师,00906001,流行病学医师,2
,,,00906002,营养与食品卫生医师,2
,,,00906003,环境卫生医师,2
,,,00906004,职业病医师,2
,,,00906005,劳动（职业）卫生医师,2
,,,00906007,儿少和学校卫生医师,2
,,,00906008,监狱、看守所医师,3
,00907,药剂人员,00907001,西药剂师,1
,,,00907002,中药药师,1
,00908,医疗技术人员,00908001,影像技师,1
,,,00908002,麻醉技师,1
,,,00908003,病理技师,1
,,,00908004,临床检验技师,1
,,,00908005,公卫检验技师,1
,,,00908006,卫生工程技师,1
,,,00908007,输（采供）血技师,2
,00909,护理人员,00909001,病房护士,1
,,,00909002,门诊护士,2
,,,00909003,手术室护士,3
,,,00909004,供应室护士,3
,,,00909005,社区护士,3
,,,00909006,助产士,2
,00910,其他卫生专业技术人员,00910001,其他卫生专业技术人员,2
,00911,医药商品购销人员,00911001,医药商品购销员,2
,00912,中药调剂人员,00912001,中药调剂员,2
,00913,医药商品储运人员,00913001,医药商品储运员,2
,00914,医疗卫生辅助服务人员,00914001,医疗临床辅助服务员,2
,,,00914002,药房辅助员,2
,,,00914003,卫生防疫、妇幼保健员,3
,,,00914004,医务行政人员,1
,,,00914005,护理员,2
,,,00914006,药剂检验人员,2
,,,00914007,放射线之技术人员,3
,,,00914009,配膳员,2
,,,00914010,卫生检查员,2
,,,00914011,医院后勤人员、医疗临床辅助服务员、药房辅助员,2
,,,00914012,医院炊事,2
,,,00914013,医院勤杂工、清洁工,2
,,,00914014,分析员,2
,,,00914015,助产士、齿模技工,2
,,,00914016,跌打损伤治疗人员,2
,,,00914017,验光师,2
,,,00914018,理疗师,2
,,,00914019,消毒员,3
,,,00914020,医疗设备、口腔科设备维修人员,3
,,,00914021,医用气体工,1
010广播\影视\文艺,01001,文艺创作和评论人员,01001001,文学、艺术研究人员,1
,,,01001002,文学作家,1
,,,01001003,曲艺作家,1
,,,01001004,剧作家,1
,,,01001005,作曲家,1
,,,01001006,词作家,1
,,,01001007,文艺评论员,1
,,,01001008,皮影戏木偶戏作家,1
,,,01001009,演奏人员,1
,,,01001010,绘画人员,1
,,,01001011,编曲人员,1
,,,01001012,书法家,1
,,,01001013,陶艺家,2
,,,01001014,篆刻家,2
,01002,编导和音乐指挥人员,01002001,电影电视导演,2
,,,01002002,戏剧导演,2
,,,01002003,舞蹈编导,3
,,,01002004,音乐指挥,1
,,,01002005,编剧,1
,,,01002006,武术指导,3
,01003,演员,01003001,电影电视演员,2
,,,01003002,戏剧演员,2
,,,01003003,舞蹈演员,2
,,,01003004,曲艺演员,2
,,,01003005,杂技魔术演员,3
,,,01003006,歌唱演员,2
,,,01003007,皮影戏演员,2
,,,01003008,木偶戏演员,2
,,,01003015,一般替身演员,3
,,,01003016,节目主持人,1
,,,01003017,巡回演出戏剧团体人员,3
,,,01003018,配音演员,1
,,,01003019,服装模特,2
,,,01003020,雕塑人员,3
,01004,乐器演奏员,01004001,民族乐器演奏员,1
,,,01004002,外国乐器演奏员,1
,01005,电影电视制作及舞台专业人员,01005001,电影电视制片,1
,,,01005002,电影电视场记,2
,,,01005003,电影电视摄影师,2
,,,01005004,照明师,1
,,,01005005,录音师,1
,,,01005006,剪辑师,1
,,,01005007,美工师,1
,,,01005008,化妆师,1
,,,01005009,置景师,2
,,,01005010,道具师,2
,,,01005011,电影电视片发行人,1
,,,01005012,舞台监督,1
,,,01005013,戏剧制作人,1
,,,01005014,影片商,1
,,,01005015,灯光及音响工作人员,3
,,,01005016,冲片人员,2
,,,01005017,洗片人员,2
,,,01005021,影视设备机械员,3
,,,01005024,广播电视编播工程技术人员,2
,,,01005025,广播电视传输覆盖工程技术人员,2
,,,01005026,电影工程技术人员,2
,,,01005028,电影院售票员,1
,,,01005029,电影院放映人员、服务人员,2
,,,01005030,影视服装员,1
,,,01005031,影视动画制作人员,1
,,,01005032,影视木偶制作人员,2
,,,01005033,电影洗印人员,2
,,,01005034,拷贝字幕员,2
,,,01005035,拷贝捡片员,2
,,,01005036,唱式制作工人,3
,,,01005037,唱片检听工人,2
,,,01005038,音像带复制工人,1
,,,01005039,光盘复制工人,1
011教育机构,01101,教育机构,01101001,校长（教育机构负责人）,1
,,,01101002,教师,1
,,,01101003,学生,1
,,,01101004,教育单位行政人员,1
,,,01101005,校工,2
,,,01101006,特殊教育教师（如聋哑老师）,1
,,,01101007,家庭教师,1
,,,01101008,保育员,3
,,,01101009,教育科学研究人员,3
,,,01101013,戏曲舞蹈教师\学生,3
,,,01101016,校车司机,3
,,,01101017,军训教官,2
,,,01101018,汽车驾驶训练班教练,3
 012公共事业,01201,邮政,01201001,邮政营业员,1
,,,01201002,邮件分检、接发员,2
,,,01201003,内勤人员,1
,,,01201004,外勤邮务人员,2
,,,01201005,火车、汽车邮件押运员,3
,,,01201007,报刊分发员,1
,,,01201008,投递员(外勤),3
,,,01201009,投递员(内勤),2
,,,01201010,邮政储汇员,1
,,,01201011,报刊发行、零售员,1
,,,01201012,集邮业务员,1
,,,01201013,邮政业务档案员,1
,,,01201014,邮政设备安装、维护人员,3
,,,01201016,邮政工程技术人员,2
,,,01201019,包裹邮物人员,3
,,,01202003,电话电报交换机人员,3
,,,01202004,电信业务营业员,1
,,,01202005,话务员,1
,,,01202006,报务员,1
,,,01202007,通信设备维护人员,3
,,,01202009,电话电报交换设备安装、维护人员,3
,,,01202010,电话机、寻呼机、传真机等用户终端设备维修员,1
,,,01202012,市话障碍处理人员,2
,,,01202013,电信装置维护修理工,3
,,,01202015,通信工程技术人员,3
,01203,水利,01203001,工程师,2
,,,01203002,水坝\水库管理人员,3
,,,01203009,农田灌排施工\管护人员,3
,,,01203014,水土保持防治工,2
,,,01203015,水土保持测试工,2
,,,01203016,水土保持勘测工,2
,,,01203017,水文勘测工,2
,,,01203022,机泵操作人员,3
,,,01203023,农田灌排工程建设管理维护人员,2
,,,01203024,水土保持作业人员,2
,01204,自来水,01204001,工程师,2
,,,01204002,自来水管装修人员,3
,,,01204003,抄表员、收费员、巡水员,2
,,,01204004,自来水厂水质分析员(实地),3
,,,01204005,工业及饮用水净化处理人员,3
,,,01204006,工业及饮用水生产人员(水井工),3
,,,01204007,供水调度员,3
,01205,电力工程技术人员,01205001,发电\变电\输电工程技术人员,3
,,,01205002,供用电工程技术人员,3
,,,01205003,电力拖动与自动控制工程技术人员,2
,,,01205004,电线电缆与电工材料工程技术人员,2
,,,01206010,小风电利用工,3
,,,01206011,微水电利用工,3
,,,01206013,电缆施放员,3
,01207,发电运行值班人员,01207001,水轮发电机值班员,3
,,,01207002,燃料值班员,3
,,,01207005,汽轮机运行值班员,3
,,,01207006,热力网值班员,3
,,,01207007,电气值班员,3
,,,01207008,集控值班员,3
,,,01207009,发电机氢冷值班员,3
,,,01207010,电厂水处理值班员,3
,01210,供用电人员,01210001,电力负荷控制员,3
,,,01210002,用电监察员,3
,,,01210003,装表核算收费员,2
,,,01210005,电能计量装置检修工,3
,,,01210006,内勤人员,1
,,,01210007,抄表员、收费员,2
,01213,石油工程技术人员,01213001,石油开采工程技术人员,3
,01214,液化气\煤气\天然气,01214001,负责人,1
,,,01214002,店员,2
,,,01214005,收费员\抄表员,2
,,,01214006,安全检查员,3
,,,01214007,仓库管理员,3
,,,01214009,储气槽\分装厂工作人员,3
,,,01214010,工程师,2
,,,01214011,检查员,2
,01216,环境监测人员,01216001,大气环境监测工,3
,,,01216002,水环境监测工,3
,,,01216003,土壤环境监测工,3
,,,01216004,环境生物监测工,3
,,,01216005,环境噪声及振动监测工,3
,,,01216006,固体废物监测工,3
,,,01216008,室内装饰装修质量检验员,3
,,,01216009,室内环境治理员,3
,01217,环境保护工程技术人员,01217001,环境损害控制工程技术人员,3
,,,01217002,环境监测工程技术人员,3
,,,01217003,环境污染治理工程技术人员,3
,,,01218003,海洋水文气象观测员,3
,,,01220004,除尘设备运行工,3
,01221,气象工程技术人员,01221001,气象观测人员,2
,,,01221002,天气预报人员,2
,,,01221003,气候监测预测人员,2
,,,01221004,应用气象人员,2
,,,01221005,气象服务人员,2
,01222,购销人员,01222001,购销人员,3
,,,01223005,一般废旧物资回收人员,3
,01224,保管人员,01224001,保管员,2
,,,01224002,理货员,2
,,,01224003,商品养护员,2
,,,01224004,保鲜员,2
,,,01224005,冷藏工,3
,,,01224007,起重机操作员（于控制室内）,2
,01225,储运人员,01225001,商品储运员,3
,01226,日用机电维修员,01226001,家用电子产品维修工,3
,,,01226002,家用电器产品维修工,3
,,,01226003,照相器材维修工,3
,,,01226004,钟表维修工,3
,,,01226005,乐器维修工,3
,,,01226006,自行车维修工,3
,01227,办公设备维修工,01227001,办公设备维修工,3
013一般商业,01301,商业,01301001,普通摊商,3
,,,01301002,厨具商,1
,,,01301003,陶瓷器商,1
,,,01301004,古董商,1
,,,01301005,花卉商,1
,,,01301006,米商,1
,,,01301007,杂货商、烟商、酒商、塑料制品商、超市售货员,1
,,,01301008,玻璃商,2
,,,01301009,果菜商,2
,,,01301010,石材商,3
,,,01301011,建材商,3
,,,01301012,铁材商,3
,,,01301013,木材商,3
,,,01301014,五金商,3
,,,01301015,宠物商,2
,,,01301016,电器商\电脑\手机商,2
,,,01301017,水电卫生器材商,2
,,,01301018,机车买卖商（不含修理）,1
,,,01301019,汽车买卖商（不含修理）,1
,,,01301020,车辆器材商（不含矿物油）,2
,,,01301021,矿物油、香烛买卖商,3
,,,01301022,眼镜商,1
,,,01301023,食品商,1
,,,01301024,文具商,1
,,,01301025,布商,1
,,,01301026,服饰买卖商,1
,,,01301030,药品买卖商,1
,,,01301031,医疗器械仪器商,2
,,,01301032,化学原料商、农药买卖商,3
,,,01301033,手工艺品买卖商,1
,,,01301034,银楼珠宝、当铺负责人及工作人员,1
,,,01301035,家具商,1
,,,01301036,自行车买卖商,1
,,,01301037,农具商,2
,,,01301038,售货商,2
,,,01301039,碾米商,2
,,,01301040,体育用品及器材销售,3
,,,01301041,IT业销售人员,2
,,,01301042,化学品销售商（非危险品）,3
,,,01301043,负责人（燃气器具店）,1
,,,01301044,店员（燃气器具店）,1
,,,01301045,送货员（燃气器具店）,3
,,,01301046,装饰工（燃气器具店）,3
,,,01301047,瓦斯器具负责人,1
,,,01301048,瓦斯器具店员,1
,,,01301049,瓦斯器具送货员,3
,,,01301050,瓦斯器具装设工,3
,,,01301054,液化瓦斯零售负责人,2
,,,01301055,液化瓦斯零售店员,2
,,,01301058,液化瓦斯旧货收购人员,3
,,,01301059,燃气矿物油销售人员（液化瓦斯零售店）,2
,,,01301060,采购员,2
,,,01301061,熟食店（使用道具者）,3
014金融业,01401,银行业,01401001,银行货币发行员,1
,,,01401002,银行国库业务人员,1
,,,01401003,银行外汇管理员,1
,,,01401004,银行清算员,1
,,,01401005,银行信贷员,1
,,,01401006,金融（销售及）外务员,2
,,,01401007,征信人员,2
,,,01401009,银行国外业务人员,3
,,,01401010,银行信托业务人员,3
,,,01401011,银行信用卡业务人员,3
,,,01401012,银行储蓄员,1
,01402,保险业,01402001,精算师,1
,,,01402002,保险推销员,1
,,,01402003,保险核保员,1
,,,01402004,保险核赔员,1
,,,01402005,理赔调查员,2
,,,01402006,保险收费员,2
,01403,证券业,01403001,证券发行员,1
,,,01403002,证券交易员,1
,,,01403003,证券投资顾问,1
,01404,其他金融人员,01404001,其他金融人员,2
015服务业,01501,旅游\旅馆业,01501001,一般内勤人员,1
,,,01501002,外务员,2
,,,01501003,导游、领队,2
,,,01501005,行政管理人员,1
,,,01501006,负责人,1
,,,01501007,一般内勤服务员,1
,,,01501008,外务员,2
,,,01501009,收帐员,2
,,,01501010,技工,3
,,,01501012,前厅服务员,2
,,,01501013,客房服务员,2
,,,01501014,旅店服务员,2
,,,01502002,中式面点师,2
,,,01502003,西式烹调师,2
,,,01502004,西式面点师,2
,,,01502005,调酒师,1
,,,01502006,茶艺师,2
,,,01502007,营养配餐员,2
,,,01502008,餐厅服务员,3
,,,01502009,餐具清洗保管员,2
,,,01502010,其他餐饮服务人员,3
,,,01502011,采购人员,2
,,,01502012,厨师（星级酒店）,2
,,,01502013,厨房杂工,3
,,,01502014,经理人员,1
,,,01502015,一般内勤,1
,,,01502016,柜台人员,1
,,,01502017,收帐员,1
,01503,健身和娱乐场所服务人员,01503001,群众性体育活动指导员,3
,,,01503002,体育场地维护、保养工,3
,,,01503003,康乐服务员,3
,,,01503004,保健按摩师,2
,,,01503005,桑拿业负责人,1
,,,01503006,桑拿业柜台人员,2
,,,01503007,社会文化指导员,3
,,,01503008,健身教练,3
,,,01503009,芳香保健师,3
,,,01503010,浴池服务人员,2
,,,01503011,修脚师,2
,01504,高尔夫球馆,01504001,教练,2
,,,01504002,球场保养人员,2
,,,01504003,维护工人,2
,,,01504004,球童,2
,,,01504005,职业高尔夫球员,2
,01505,保龄球馆,01505001,记分员,1
,,,01505002,柜台人员,1
,,,01505003,机械保护员,3
,,,01505004,清洁工人,2
,01506,撞球馆,01506001,负责人,2
,,,01506002,记分员,2
,,,01506003,柜台人员,2
,,,01506004,机械保护员,2
,01507,游泳池,01507001,负责人,1
,,,01507002,管理员,1
,,,01507003,教练,2
,,,01507004,售票员,1
,01508,海水浴场,01508001,管理员,1
,,,01508002,负责人,1
,,,01508005,售票员,1
,01509,游乐园动物园,01509001,负责人,1
,,,01509002,售票员,1
,,,01509003,一般清洁工,2
,,,01509004,游戏机操作员,2
,,,01509008,兽医(动物园),2
,01510,娱乐场所,01510001,咖啡厅工作人员,2
,,,01510002,茶室工作人员,2
,,,01510003,酒家工作人员,2
,,,01510008,娱乐餐饮业负责人,2
,,,01510010,调酒师,3
,,,01510011,乐队人员,3
,,,01510012,歌唱人员,3
,,,01510013,DJ,3
,,,01510014,迎宾,3
,,,01510016,电子游戏厅工作人员,3
,,,01510018,网吧管理人员,2
,,,01510019,按摩沐足\桑拿负责人,1
,,,01510020,按摩沐足\桑拿柜台人员,1
,,,01510021,按摩沐足\桑拿工作人员,2
,,,01510022,负责人,3
,01511,营业、推销人员,01511001,营业员,2
,,,01511002,收银员,1
,,,01511003,推销员,2
,01512,采购人员,01512001,采购员,3
,,,01512002,收购员,3
,,,01512003,中药购销员,3
,01513,酒店服务部人员,01513001,前厅服务员,2
,,,01513002,客房服务员,2
,,,01513003,旅店服务员,2
,,,01513004,负责人,1
,,,01513005,一般内勤,1
,,,01513006,外务员,2
,,,01513007,收帐员,2
,,,01513008,技工,3
,01514,旅游及公共游览场所服务人员,01514001,导游,2
,,,01514002,一般内勤,1
,,,01514003,外务员,2
,,,01514004,公共游览场所服务员,3
,,,01514005,展览讲解员,3
,,,01514006,插花员,3
,,,01514007,盆景工,3
,01515,美容美发人员,01515001,美容师,1
,,,01515002,美发师,1
,01516,摄影服务人员,01516001,摄影师,1
,,,01516002,冲印师,1
,01517,验光配镜人员,01517001,眼镜验光员,2
,,,01517002,眼镜定配员,2
,01518,洗染织补人员,01518001,洗衣师,2
,01519,印章刻字人员,01519001,刻字印章工,3
,01520,房地产,01520001,经营管理者,1
,,,01520002,室内工作人员,2
,,,01520003,开发工作人员,2
,,,01520004,租赁销售人员、度地房屋买卖介绍人,3
,01521,殡葬服务人员,01521001,殡仪服务员,2
,,,01521004,尸体整容工,2
,,,01521005,尸体火化工,3
,,,01521006,墓地管理员,2
,,,01521007,殡葬车驾驶员,3
,01522,社会中介服务人员,01522001,中介代理人,3
,,,01522002,职业指导员,2
,,,01522003,其他社会中介服务人员,1
,,,01522004,中介机构内勤人员,1
,,,01522005,中介机构外勤人员,2
,01523,物业管理员,01523001,物业管理员,2
,,,01524002,保洁工,2
,,,01524004,清洁打蜡工人（地板）,2
,,,01524006,汽车清洗、护理工,3
,,,01524008,汽车美容,3
,01525,供水、供热及生活燃料供应服务人员,01525001,供水生产工,3
,,,01525002,供水供应工,3
,,,01525003,生活燃料供应工,3
,,,01528003,会计人员,1
,,,01528006,公证员,1
,,,01528007,公证行外务员,2
,,,01529002,分拣员,3
,,,01529005,报关行外务员,2
,,,01530003,宠物美容师,3
,,,01530004,宠物健康护理人员,3
,01531,其他商业、服务业人员,01531001,其他商业、服务业人员,3
,,,01531002,代书(内勤),1
,,,01531003,经纪人(内勤),1
,,,01531004,速录师,1
,,,01531005,土地房屋买卖介绍人,2
,,,01531006,景观设计师,2
,,,01531007,钟表匠,1
,,,01531008,鞋匠、伞匠,2
,,,01531009,勘查师,2
,,,01531010,警卫人员(工厂、公司行号、大楼),3
,,,01531011,大楼管理员,1
,,,01531012,收费站、停车场收费人员,2
,,,01531013,加油站工作人员,2
,,,01531014,地磅场工作人员,2
,,,01531015,健身房教练,3
,,,01531016,健身房服务人员,2
,,,01531018,车辆保管人员,2
,,,01531020,勤杂工,3
,,,01531021,道路清洁工,3
,01532,家政管理,01532001,家政服务员,2
,,,01532002,家庭主妇,2
,,,01532003,儿童、非职业技术学校学生,2
,,,01532004,职业技术学校学生,3
,,,01532005,保姆,2
016安全保卫\消防,01601,人民警察,01601001,警务行政及内勤人员,1
,,,01601012,铁路警察,3
,,,01601013,警校学生,3
,,,01601014,警校教官,3
,,,01601015,警校文职教师,3
,,,01601017,安检人员,3
,,,01601019,监狱看守所管理人员,3
,,,01601020,情报、犯罪等信息调查人员(内勤不搜证),3
,,,01601023,行政执法人员,3
,,,01602003,门卫,3
,,,01602004,单位保卫科工作人员,3
,,,01602006,违禁品检查员,3
,,,01602008,工商、税务、海关、城管等特定国家行政执法人员,3
,,,01602009,治安调查人员,3
,,,01602013,抢险救援器材维修人员,3
,,,01602014,火险监督员\防火审核员,2
,,,01602015,物业管理人员,3
,,,01603003,防火员,2
,,,01603007,抢险救援器材工具调配工,3
,,,01603008,可燃气体（毒气）检测员、危险物品监督员,3
,,,01603009,火灾嘹望观察员（嘹望塔）,2
,01604,司法,01604001,人民法院负责人,1
,,,01604002,人民检察院负责人,1
,,,01604003,法官,1
,,,01604004,检察官,1
,,,01604005,律师,1
,,,01604006,公证员,1
,,,01604007,法医,2
,,,01604008,书记员,1
,,,01604009,商业犯罪调查处理人员,3
,01605,武装警察,01605001,武警总部行政及内勤人员,3
017军人,01701,现役军人,01701001,行政及内勤人员,1
,,,01701002,一般地面部队人员（非前线）,3
,,,01701004,军医院官兵（非前线）,1
,,,01701005,后勤补给及通讯地勤人员（非前线）,3
,,,01701006,军事研究单位纸上设计人员,1
,,,01701012,通勤之行政及内勤人员(国防部、三军总部、军校教官等),1
018计算机与互联网业,01801,计算机与互联网业,01801001,计算机硬件技术人员,2
,,,01801002,计算机软件技术人员,1
,,,01801003,计算机网络技术人员,1
,,,01801004,计算机系统分析技术人员,1
,,,01801005,维护工程师,2
,,,01801006,系统工程师,1
,,,01801007,运维支持工程师,2
,,,01801008,销售工程师,2
,,,01801009,计算机乐谱制作师,1
,,,01801010,数字视频合成师,1
,,,01801011,互联网业经营管理及服务人员,2
,,,01801012,计算机软件产品检验员,1
019职业运动员,01901,保龄球运动,01901001,教练员,2
,,,01901002,保龄球球员,2
,01902,桌球运动,01902001,教练员,2
,,,01902002,桌球球员,2
,01903,羽毛球运动,01903001,教练员,2
,,,01903002,羽毛球球员,2
,01904,游泳运动,01904001,教练员,2
,,,01904002,游泳队员,2
,,,01904003,花样游泳人员,2
,,,01904004,其他游泳人员,3
,01905,射箭运动,01905001,教练员,2
,,,01905002,射箭运动员,2
,01906,网球运动,01906001,教练员,2
,,,01906002,网球球员,2
,01907,垒球运动,01907001,教练员,2
,,,01907002,垒球球员,3
,01908,滑冰运动,01908001,教练员,2
,01910,民族体育运动(不含竞技性),01910001,教练员,2
,,,01910002,民族体育活动人员,2
,01911,举重运动,01911001,教练员,2
,,,01911002,举重运动员,3
,01912,篮球运动,01912001,教练员,2
,,,01912002,篮球运动员,3
,01913,排球运动,01913001,教练员,2
,,,01913002,排球运动员,3
,01914,棒球运动,01914001,教练员,2
,01915,田径运动,01915001,教练员,2
,,,01915002,田径运动员,3
,01916,体操运动,01916001,教练员,2
,,,01916002,体操运动员,3
,01920,划船运动,01920001,教练员,2
,,,01920002,驾乘人员,3
,01921,泛舟运动,01921001,教练员,3
,,,01921002,驾乘人员,3
,01922,巧固球运动,01922001,教练员,2
,,,01922002,巧固球球员,3
,01923,手球运动,01923001,教练员,2
,,,01923002,手球运动员,3
,01926,足球运动,01926001,教练员,2
,01927,曲棍球运动,01927001,教练员,2
,01928,冰上曲棍球运动,01928001,教练员,3
,01929,橄榄球,01929001,教练员,2
,01930,乒乓球运动,01930001,教练员,3
,,,01930002,乒乓球球员,3
,01931,击剑运动,01931001,教练员,2
,,,01931002,击剑运动员,3
,01932,水球运动,01932001,教练员,2
,,,01932002,水球球员,3
,01934,摔跤运动,01934001,教练员,3
,01936,自行车运动,01936001,教练员,2
,,,01936002,骑行人员,3
,01937,裁判人员,01937001,裁判人员,3
,01939,高尔夫球运动,01939001,教练员,1
,,,01939002,运动员,2
,,,01939003,球童,2
,01940,壁球,01940001,壁球人员,2
,,,01940002,教练,2
,01941,滑草,01941001,教练,3
,,,01941002,滑草人员,3
,01942,角力,01942001,教练,3
,01943,柔道,01943001,教练,3
,01944,空手道,01944001,教练,3
,01945,跆拳道,01945001,教练,3
,01946,武术,01946001,教练,3
020其他,02001,自由职业者和无业,02001001,学龄前儿童,1
,,,02001002,家族主妇、主夫,2
,,,02001003,离退休人员（无兼职）,1
,,,02001004,自由投资者,3
,,,02001005,待业人员、下岗人员,2
,,,02001006,自由职业人员,3
,02002,个体经营,02002001,个体经营与商贩（有固定摊位）,3
,,,02002003,私营企业主(不亲自作业),1
